REGIONE,CODICE REGIONE,PROVINCIA,CODICE AZIENDA,CODICE STRUTTURA DI RICOVERO,DENOMINAZIONE STRUTTURA,DENOMINAZIONE COMUNE,PARTITA IVA,CODICE COMUNE ISTAT,INDIRIZZO,CAP,TELEFONO,NUMERO FAX,SITO WEB,E-MAIL,TIPO STRUTTURA,TIPO IRCCS/A.O. UNIV. E POLICLINICO,TIPO CASA DI CURA,DIPARTIMENTO EMERGENZA,CENTRO TRASFUSIONALE,SERVIZIO RIANIMAZIONE,DIAGNOSTICA PER IMMAGINI,RADIOTERAPIA,ONCOLOGIA MEDICA,SERVIZIO DIALISI,PRONTO SOCCORSO,SALE OPERATORIE,POSTI CAMERE IPERBARICHE,INCUBATRICI,AMBULANZE TIPO A,AMBULANZE TIPO A CON MEDICO,AMBULANZE TIPO B,AMBULANZE PEDIATRICHE,AMBULANZE TRASP. EMERGENZA NEONATO,UNITÀ MOBILI RIANIMAZIONE,ANNO APERTURA,PRESENZA APPARECCHIATURE,ATTIVITÀ RIABILITAZIONE,CULLE,DATA AGGIORNAMENTO
Sicilia,190,Catania,203,190317,P.O. Gravina e S. Pietro Caltagirone,Caltagirone,04721260877,087011,Via Portosalvo 2,95041,093339446,093339448,www.ospedalegravina.it,direzionesanitaria.caltagirone@aspct.it,01,0,0,0,X,X,X,-,X,X,X,4,0,5,2,0,0,0,0,1,0,X,-,12,2018-01-15
Sicilia,190,Catania,203,190318,P.O. Basso Ragusa Militello,Militello in Val di Catania,04721260877,087025,Viale Regina Margherita 25,95043,0957943111,0957943140,-,-,01,0,0,0,-,X,X,-,-,-,X,1,0,0,1,0,0,0,0,0,0,X,-,0,2018-01-15
Sicilia,190,Catania,203,190511,CASA DI CURA DI STEFANO VELONA S.R.L.,Catania,04547010878,087015,VIA S. EUPLIO 162,95124,095446950,095448148,www.distefanovelona.com,info@distefanovelona.com,05,0,1,0,-,-,X,-,-,-,-,3,0,0,0,0,0,0,0,0,1977,X,-,0,2018-01-22
Sicilia,190,Catania,203,190512,CASA DI CURA MADONNA DEL ROSARIO,Catania,00560610875,087015,VIA BRONTE 44,95125,095434127,095446930,-,m.delrosario@tiscali.it,05,0,1,0,-,-,X,-,-,-,-,0,0,0,0,0,0,0,0,0,1969,X,-,0,2018-01-22
Sicilia,190,Catania,203,190513,CASA DI CURA G.B. MORGAGNI S.R.L.,Catania,00248620874,087015,VIA DEL BOSCO 105,95125,095238235,095238450,www.policlinicomorgagni.it,gbmorg@tin.it,05,0,1,0,-,X,X,-,X,-,-,7,0,0,1,0,0,0,0,0,1971,X,-,0,2018-01-22
Sicilia,190,Catania,203,190515,CASA DI CURA S. RITA SRL,Catania,01135180870,087015,VIA DOTT. CONSOLI 49,95124,095320690,0952180742,-,accettazione@casadicurasrita.it,05,0,1,0,-,-,X,-,-,-,-,2,0,0,0,0,0,0,0,0,1981,X,-,0,2018-04-10
Sicilia,190,Catania,203,190516,MATER DEI DI G.NESI & C. S.P.A,Catania,01129240873,087015,VIALE MARIO RAPISARDI 1,95124,0957389111,0957313218,www.casadicuramaterdei.it,urp@casadicuramaterdei.it,05,0,1,0,-,-,X,-,-,-,-,3,0,0,0,0,0,0,0,0,1980,X,-,0,2018-01-22
Sicilia,190,Catania,203,190517,CASA DI CURA VILLA DEI GERANI SrL,Catania,00288180870,087015,VIII STRADA ZONA INDUSTRIALE,95121,095596401,095596408,-,accettazione.gerani@carmide.it,05,0,1,0,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,0,1978,X,X,0,2018-01-22
Sicilia,190,Catania,203,190519,HUMANITAS CENTRO CATANESE DI ONCOLOGIA,Catania,00288060874,087015,VIA V.E. DA BORMIDA 64,95126,0957339000,095336989,www.ccocatania.it,salvina.scire@ccocatania.it,05,0,1,0,-,X,X,X,X,-,-,4,0,0,0,0,0,0,0,0,1968,X,-,0,2018-01-22
Sicilia,190,Catania,203,190520,CASA CURA CENTRO CATANESE MED. E CH.,Catania,00496120874,087015,VIA BATTELLO 48,95126,0957323111,0957323532,www.ccmc.it,info@ccmc.it,05,0,1,0,-,-,X,-,-,X,-,3,0,0,0,0,0,0,0,0,2003,X,-,0,2018-01-22
Sicilia,190,Catania,203,190521,CASA DI CURA CARMIDE,Catania,00288880870,087015,VIA FEUDO GRANDE 13,95126,0957529111,095494234,-,accettazione@carmide.it,05,0,1,0,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,0,1974,X,X,0,2018-01-22
Sicilia,190,Catania,203,190523,CASA DI CURA GIBIINO SRL,Catania,02205770874,087015,VIALE ODORICO DA PORDENONE 25,95128,095501224,095501298,www.casadicuragibiino.it,info@casadicuragibino.it,05,0,1,0,-,-,X,-,-,-,-,2,0,0,0,0,0,0,0,0,1977,X,-,0,2018-03-29
Sicilia,190,Catania,203,190553,CASA DI CURA RIABILITATIVA VILLA SOFIA,Acireale,00558180873,087004,"VIA DELLE TERME, 80",95024,0957631997,0957636068,-,villasofia@cataniacura.it,05,0,1,0,-,-,X,-,-,-,-,0,0,0,0,0,0,0,0,0,2000,X,X,0,2018-01-22
Sicilia,190,Catania,203,190554,ISTITUTO ONCOLOGICO DEL MEDITERRANEO SPA,Viagrande,02744310877,087053,VIA PENNINAZZO 7,95029,0957895000,0957891320,-,-,05,0,1,0,-,X,X,-,X,-,-,3,0,0,0,0,0,0,0,0,2002,X,-,0,2018-01-22
Sicilia,190,Catania,203,190555,CASA DI CURA MONS. G. CALACIURA Cenacolo,Biancavilla,02173180874,087008,SPBiancavillaMontalto Cda CrocealVallone,95033,0957710211,0957710276,www.centroriabilitativocalaciura.it,crc@operacenacolo.it,05,0,1,0,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,0,2010,X,X,0,2018-01-22
Sicilia,190,Catania,203,190709,CASA DI CURA CLIN.BASILE GEST.TIGANO SRL,Catania,01207900893,087015,V.LE ODORICO DA PORDENONE 1,95128,095501329,095501333,-,clinicabasile@yahoo.it,05,0,1,0,-,-,X,-,-,-,-,0,0,0,0,0,0,0,0,0,1961,X,-,0,2018-01-22
Sicilia,190,Catania,203,190710,CASA DI CURA PROF.E.FALCIDIA SrL,Catania,03970180877,087015,V.LE ODORICO DA PORDENONE 32/34,95126,095580578,095223068,www.falcidia.it,info@falcidia.it,05,0,1,0,-,-,X,-,-,-,-,2,0,8,0,0,0,0,0,0,1967,X,-,27,2018-03-02
Sicilia,190,Catania,203,190712,CASA DI CURA MUSUMECI GECAS SRL,Gravina di Catania,03381600877,087019,Via Dell'Autonomia 57,95127,0957504611,0957504630,www.grupposamed.com,casadicuramusumeci@grupposame,05,0,1,0,-,-,X,-,-,-,-,3,0,0,0,0,0,0,0,0,1997,X,-,0,2018-01-22
Sicilia,190,Catania,203,190715,CASA DI CURA VILLA S.FRANCESCO,Catania,04928140872,087015,V.LE ODORICO DA PORDENONE 46/48,95126,095580520,0,-,villasanfrancesco@tiscali.it,05,0,1,0,-,-,-,-,-,-,-,2,0,0,0,0,0,0,0,0,1986,X,-,0,2018-01-22
Sicilia,190,Catania,203,190723,CASA DI CURA VALSALVA SRL,Catania,01275220893,087015,"V.LE A. USODIMARE, 109",95126,0957141924,095515616,-,amministrazione@casadicuravalsalva.it,05,0,1,0,-,-,X,-,-,-,-,3,0,0,0,0,0,0,0,0,1999,X,-,0,2018-01-22
Sicilia,190,Catania,203,190724,ISCAS MORGAGNI NORD SRL,Pedara,00248620874,087034,VIA DELLA RESISTENZA 31,95030,0957026651,0957026651,www.policlinicomorgagni.it,dirsan@centrocuore.it,05,0,1,0,-,X,X,-,-,-,-,3,0,0,0,0,0,0,0,0,1993,X,-,0,2018-01-22
Sicilia,190,Catania,203,190725,PRIVATE HOSPITAL ARGENTO srl,Catania,05181800870,087015,VIA OTTAVIO D`ARCANGELO 16,95123,095515504,0955124150,-,privatehospitalargento@impresapec.it,05,0,1,0,-,-,X,-,-,-,-,3,0,0,0,0,0,0,0,0,1973,X,-,0,2018-03-02
Sicilia,190,Catania,203,190726,ISTITUTO CLINICO VIDIMURA srl,Catania,02310340878,087015,Piazza Mancini Battaglia n.5,95126,095408111,095408502,www.gretterlucina.it,segreteria@istitutoclinicovidimura,05,0,1,0,-,-,X,-,-,-,-,4,0,6,0,0,0,0,0,0,2017,X,-,15,2018-01-22
Sicilia,190,Enna,204,190319,P. O. 'UMBERTO I',Enna,01151150867,086009,C.da Ferrante,94100,0935516111,0935516299,-,dirsan.umberto@asp.enna.it,01,0,0,0,X,X,X,X,X,X,X,3,0,11,2,1,1,0,0,1,0,X,-,17,2018-03-12
Sicilia,190,Enna,204,190320,P. O. 'M. CHIELLO',Piazza Armerina,01151150867,086014,CONTRADA BELLIA,94015,0935981111,0935981731,www.asp.enna.it,dirsan.chiello@asp.enna.it,01,0,0,0,-,-,X,-,-,-,X,3,0,1,2,0,0,0,0,0,0,X,-,0,2018-03-12
Sicilia,190,Enna,204,190321,P. O. 'FERRO-CAPRA-BRANCIFORTE',Leonforte,01151150867,086011,CONTRADA S. GIOVANNI,94013,0935664111,0935664427,-,ufficiosdo.fbc@asp.enna.it,01,0,0,0,-,-,X,-,-,-,X,2,0,0,1,0,0,0,0,0,0,X,-,0,2018-03-12
Sicilia,190,Enna,204,190322,P. O. 'CARLO BASILOTTA',Nicosia,01151150867,086012,VIA S. GIOVANNI,94014,0935671111,0935671212,www.asp.enna.it,dirsan.nicosia@asp.enna.it,01,0,0,0,X,-,X,-,-,X,X,3,0,2,2,0,0,0,0,0,0,X,-,8,2018-03-12
Sicilia,190,Messina,205,190323,P.O. 'NUOVO CUTRONI ZODDA' BARCELLONA,Barcellona Pozzo di Gotto,03051870834,083005,CONTRADA S. ANDREA,98051,09097511,0909751763,-,ospedale.barcellona@asp.messina.it,01,0,0,0,-,-,X,-,-,X,X,3,0,0,1,1,1,0,0,0,0,X,-,0,2018-02-07
Sicilia,190,Messina,205,190324,P.O. LIPARI,Lipari,03051870834,083041,VIA S. ANNA,98055,0909885402,0909885402,-,ospedale.lipari@asp.messina.it,01,0,0,0,-,-,X,-,-,X,X,1,5,3,0,0,3,0,0,0,0,X,-,7,2018-02-07
Sicilia,190,Messina,205,190325,P.O. 'G. FOGLIANI' MILAZZO,Milazzo,03051870834,083049,VILLAGGIO GRAZIA,98057,09092901,0909290446,-,ospedale.milazzo@asp.messina.it,01,0,0,0,X,X,X,-,-,X,X,6,0,5,0,0,0,0,0,0,0,X,-,12,2018-02-07
Sicilia,190,Messina,205,190326,P.O.' S. VINCENZO' TAORMINA,Taormina,03051870834,083097,CONTRADA SIRINA,98039,09425791,094252215,-,direzione.osptaormina@asp.messina.it,01,0,0,1,X,X,X,X,X,X,X,10,0,4,0,0,1,0,0,0,0,X,-,10,2018-02-07
Sicilia,190,Messina,205,190327,P.O. 'SS. SALVATORE' MISTRETTA,Mistretta,03051870834,083052,VIA ANNA SALAMONE,98073,0921389111,0921389224,www.asp.messina.it,ospedale.mistretta@asp.messina.it,01,0,0,0,-,-,X,-,-,-,X,2,0,0,0,0,0,0,0,0,0,X,-,0,2018-02-07
Sicilia,190,Messina,205,190328,P.O. 'BARONE-ROMEO' PATTI,Patti,03051870834,083066,VIA MAZZINI,98066,0941244111,094121562,-,-,01,0,0,0,X,X,X,-,-,X,X,5,0,17,0,0,2,0,0,0,0,X,-,20,2018-03-01
Sicilia,190,Messina,205,190329,STABILIMENTO OSPED. S. AGATA MILITELLO,Sant'Agata di Militello,03051870834,083084,VIA MEDICI,98076,09417201,0941720426,-,ospedale.sagata@asp.messina.it,01,0,0,0,X,-,X,-,-,-,X,3,0,2,0,0,1,0,0,0,0,X,-,6,2018-02-07
Sicilia,190,Messina,205,190524,I.O.M.I. F.SCALABRINO GANZIRRI,Messina,06619881003,083048,VIA CONS POMPEA 360 GANZIRRI MESSINA,98165,09039711,090391392,www.giomi.it,info@giomi.com,05,0,1,0,-,-,X,-,-,-,-,4,0,0,0,0,0,0,0,0,1956,X,-,0,2018-02-23
Sicilia,190,Messina,205,190525,CASA DI CURA S.CAMILLO,Messina,00191770833,083048,VIALE P.UMBERTO N.71 MESSINA,98122,0906402317,090661120,www.casadicurasancamillome.it,casadicurasancamillo@virgilio.it,05,0,1,0,-,-,X,-,-,-,-,3,0,0,0,0,0,0,0,0,1966,X,-,0,2018-02-09
Sicilia,190,Messina,205,190526,CASA DI CURA CRISTO RE,Messina,00191850833,083048,VIALE P.UMBERTO N.89 MESSINA,98122,0903718111,0903719133,www.casadicuracristore.it,direzione@casadicuracristore.it,05,0,1,0,-,-,X,-,-,-,-,3,0,0,0,0,0,0,0,0,1973,X,-,0,2018-02-09
Sicilia,190,Messina,205,190527,CASA DI CURA CARMONA SRL,Messina,01428290892,083048,VIALE P.UMBERTO N.75/G,98122,090711001,090714980,www.carmonacasadicura.it,commerciale@carmonacasadicura.it,05,0,1,0,-,-,X,-,X,-,-,3,0,0,0,0,0,0,0,0,1995,X,-,0,2018-02-09
Sicilia,190,Messina,205,190528,CASA DI CURA VILLA SALUS S.A.S.,Messina,01379750837,083048,VIALE REG.MARGHERITA N. 15/B MESSINA,98121,09036901,09045558,www.casadicuravillasalus.it,vsalus@tin.it,05,0,1,0,-,-,X,-,X,-,-,2,0,0,0,0,0,0,0,0,1961,X,-,0,2018-02-09
Sicilia,190,Messina,205,190530,C.O.T. S.P.A. (CURE ORTOPED. TRAUM.),Messina,00184810836,083048,VIA DUCEZIO N.1,98124,090660224,0906409680,www.cotmessina.it,amministrazione@cotmessina.it,05,0,1,0,-,-,X,-,-,-,-,3,0,0,0,0,0,0,0,0,1973,X,-,0,2018-02-09
Sicilia,190,Messina,205,190531,CASA DI CURA VILLA IGEA SRL,Messina,00184760833,083048,VIA CONSOLARE VALERIA N 47 MESSINA,98124,0902930323,090696550,www.cdcvillaigea.it,casadicuravillaigeasrl@virgilio.it,05,0,1,0,-,-,X,-,-,-,-,0,0,0,0,0,0,0,0,0,1961,X,-,0,2018-02-09
Sicilia,190,Messina,205,190601,CENTRO CHIRURGICO VILLA MARIA S.R.L.,Messina,01926280833,083048,S.S.113 - ORTOLIUZZO KM. 32,98161,090348380,090348380,www.villamariadaysurgery.it,info@villamariadaysurgery.it,05,0,2,0,-,-,-,-,-,-,-,1,0,0,0,0,0,0,0,0,2007,X,-,0,2018-02-09
Sicilia,190,Messina,205,190716,CASA DI CURA CAPPELLANI GIOMI S.P.A.,Messina,11060571004,083048,VIALE REG.ELENA N.335,98121,0903681,09042285,-,info.cappellanigiomi@giomi.com,05,0,1,0,-,-,X,-,-,-,-,3,0,0,0,0,0,0,0,0,2002,X,-,0,2018-02-09
Sicilia,190,Palermo,206,190179,FOND. IST. S. RAFFAELE - GIGLIO,Cefalù,05205490823,082027,C.DA PIETRAPOLLASTRA,90015,0921920652,0921920513,www.hsrgiglio.it,direzionegenerale@pec.hsrgiglio.it,00,0,0,1,X,X,X,-,X,X,X,5,0,2,1,1,0,0,0,1,2003,X,-,10,2018-03-01
Sicilia,190,Palermo,206,190199,OSP. BUCCHERI LA FERLA FATEBENEFRATELLI,Palermo,0,082053,VIA M. MARINE 197,90127,091479325,091479385,www.ospedalebuccherilaferla.it,scaletta.gino@fbf.it,04,0,0,1,-,X,X,-,X,-,X,6,0,12,0,0,0,0,0,0,1988,X,-,32,2018-01-25
Sicilia,190,Palermo,206,190330,P.O. DEI BIANCHI CORLEONE,Corleone,05841760829,082034,VIA DON G. COLLETTO,90034,0918450100,0918450112,-,dirsancorleone@asppalermo.org,01,0,0,0,-,X,X,-,-,-,X,1,2,0,3,2,0,0,0,1,0,X,-,6,2018-04-23
Sicilia,190,Palermo,206,190332,P.O. CIVICO PARTINICO,Partinico,05841760829,082054,VIA CIRCONVALLAZIONE 1,90047,0918911300,0918911165,-,segretaria.partinoco@asppalermo.org,01,0,0,0,-,X,X,-,-,-,X,5,4,2,2,0,0,0,0,0,0,X,-,15,2018-02-26
Sicilia,190,Palermo,206,190333,P.O. MADONNA DELL'ALTO - PETR. SOTTANA,Petralia Sottana,05841760829,082056,CONTRADA SANTA ELIA,90027,0921682111,0921682074,-,dirsanpetralia@ausppalermo.org,01,0,0,0,-,X,X,-,-,-,X,2,2,1,0,0,1,0,0,2,0,X,-,6,2018-02-27
Sicilia,190,Palermo,206,190334,P.O. S. CIMINO TERMINI IMERESE,Termini Imerese,05841760829,082070,VIA SALVATORE CIMINO,90018,0918151111,0918151228,-,dirsantermini@asppalermo.org,01,0,0,1,-,-,X,-,-,-,X,3,0,4,1,0,0,0,0,0,0,X,-,19,2018-02-26
Sicilia,190,Palermo,206,190335,P.O. G. F. INGRASSIA,Palermo,05841760829,082053,"C.SO CALATAFIMI, 1002",90100,0917033731,0917033766,-,dsingrassia@gmail.com,01,0,0,1,-,X,X,-,-,-,X,3,0,14,1,0,0,0,0,0,0,X,-,16,2018-02-26
Sicilia,190,Palermo,206,190337,P.O. VILLA DELLE GINESTRE,Palermo,05841760829,082053,"VIA CASTELLANA, 145",90135,0916743111,0916743140,-,villadelleginestre@asppalermo.org,01,0,0,0,-,-,X,-,-,-,-,1,0,0,0,0,0,0,0,0,2011,X,X,0,2018-02-26
Sicilia,190,Palermo,206,190532,CASA DI CURA IGEA S.N.C.,Partinico,00635720824,082054,VIA ROMA 193,90047,0918907410,0918782296,wwwigeacasadicura.it,info@igeacasadicura.it,05,0,1,0,-,-,X,-,-,-,-,3,0,0,0,0,0,0,0,0,1978,X,-,0,2018-02-28
Sicilia,190,Palermo,206,190533,CASA DI CURA CANDELA SPA,Palermo,00118410828,082053,VIA VILLAREALE 54,90141,091587122,091589344,wwwclinicacandela.it,amministrazione@pec.clinicacandela.it,05,0,1,0,-,-,-,-,-,-,-,3,0,6,0,0,0,0,0,0,1991,X,-,25,2018-02-28
Sicilia,190,Palermo,206,190534,CASA DI CURE ORESTANO S.R.L.,Palermo,00295440820,082053,"VIA PIETRO D`ASARO, N 48",90138,0916044111,091323090,www.casadicureorestano.it,info@casadicuraorestano.it,05,0,1,0,-,-,X,-,X,-,-,5,0,0,0,0,0,0,0,0,1921,X,-,0,2018-02-28
Sicilia,190,Palermo,206,190536,CASA DI CURA 'TRIOLO ZANCLA' S.P.A.,Palermo,03599540824,082053,P.ZZA FONDERIA N.23,90133,0916054111,091324463,-,direzione@triolozancla.com,05,0,1,0,-,-,-,-,-,-,-,2,0,6,0,0,0,0,0,0,1978,X,-,20,2018-02-28
Sicilia,190,Palermo,206,190537,CASA DI CURA SERENA S.P.A.,Palermo,00611390824,082053,VIA DELLA REGIONE SICILIANA 1470,90135,0916985111,0914066459,wwwcasadicuraserena.it,info@casadicuraserena.it,05,0,1,0,-,-,X,-,-,-,-,5,0,2,0,0,0,0,0,0,1967,X,-,15,2018-04-27
Sicilia,190,Palermo,206,190538,CASA DI CURA NOTO PASQUALINO S.R.L.,Palermo,00712600824,082053,VIA DANTE 330,90141,0916837111,0916829699,wwwclinicanoto.it,clinicanotosrl@libero.it,05,0,1,0,-,-,X,-,-,-,-,5,0,0,0,0,0,0,0,0,1927,X,-,0,2018-02-28
Sicilia,190,Palermo,206,190539,NUOVA CASA DI CURA D`ANNA PIA ASS. SRL,Palermo,02723640831,082053,"V.LE REGIONE SICILIANA ,900 SUD EST",90129,091484178,091423064,-,protocollo@pec.nuovacasadicuradanna.it,05,0,1,0,-,-,X,-,-,-,-,0,0,0,0,0,0,0,0,0,1984,X,-,0,2018-01-15
Sicilia,190,Palermo,206,190540,NUOVA CASA DI CURA DEMMA srl,Palermo,05112210827,082053,VIALE REGINA MARGHERITA 5,90138,0916811217,0,www.clinicademma.it,amministrazione@clinicademma.it-clinicademma@pec.i,05,0,1,0,-,-,-,-,-,-,-,3,0,0,0,0,0,0,0,0,1984,X,-,0,2018-01-11
Sicilia,190,Palermo,206,190541,CASA DI CURA MACCHIARELLA S.P.A.,Palermo,00301520821,082053,VIALE REGINA MARGHERITA 25,90138,0917022111,0916517049,www.cacadicuramacchiarella.it,cdcmacchiarella@pec.it-ragioneria@casadicuramacchi,05,0,1,0,-,-,X,X,X,-,-,3,0,0,0,0,0,0,0,0,1957,X,-,0,2018-02-28
Sicilia,190,Palermo,206,190542,CASA DI CURA TORINA,Palermo,00734750821,082053,VIA F. SPALLITTA N.18,90145,0916838111,0916824130,www.casadicuratorina.it,casadicuratorina@katamail.com,05,0,1,0,-,-,X,-,X,-,-,2,0,0,0,0,0,0,0,0,1959,X,-,0,2018-01-15
