CODICE REGIONE,REGIONE,PROVINCIA,CODICE AZIENDA,CODICE STRUTTURA,TIPO ASSISTENZA EROGATA,DESCRIZIONE TIPO ASSISTENZA EROGATA,DENOMINAZIONE STRUTTURA,PARTITA IVA,INDIRIZZO,DENOMINAZIONE COMUNE,CODICE COMUNE ISTAT,CAP,E-MAIL,SITO WEB,TELEFONO,NUMERO FAX,TIPO STRUTTURA,TIPO STRUTTURA DI RICOVERO,CODICE STRUTTURA DI RICOVERO,DENOMINAZIONE STRUTTURA DI RICOVERO,TIPO RAPPORTO CON IL S.S.N.,PRESENZA APPARECCHIATURE,ANNO APERTURA,ANNO CHIUSURA,DATA AGGIORNAMENTO
190,Sicilia,Agrigento,201,402700,S01,ATTIVITA' CLINICA,DI NOLFO ANDREA,01618870842,VIA S. FRANCESCO D'ASSISI N. 45,Agrigento,084001,92100,dr.dinolfo@gmail.com,-,0922595145,0922595145,AMBULATORIO E LABORATORIO,0,0,-,2,S,1997,0,2018/01/02
190,Sicilia,Agrigento,201,402900,S02,DIAGNOSTICA STRUMENTALE E PER IMMAGINI,CENTRO DI DIAGNOSTICA PER IMMAGINI S.R.L. - DOTT. VINCENZO FRANGIAMORE,02617170846,VIA LAURICELLA N. 9,Agrigento,084001,92100,frangiamore.vincenzo@alice.it,-,0922595766,0922595766,AMBULATORIO E LABORATORIO,0,0,-,2,S,1997,0,2018/01/02
190,Sicilia,Agrigento,201,403100,S01,ATTIVITA' CLINICA,STUDIO ODONTOIATRICO GILOTTI - NOCERA DI GILOTTI IVA S.A.S.,02453480846,VIA PICONE N. 57,Agrigento,084001,92100,iva.gilotti@teletu.it,-,0922401242,0,AMBULATORIO E LABORATORIO,0,0,-,2,N,1997,0,2018/01/02
190,Sicilia,Agrigento,201,403300,S02,DIAGNOSTICA STRUMENTALE E PER IMMAGINI,CENTRO DI DIAGNOSTICA PER IMMAGINI DOTT. LO ZITO - S.R.L.,02115990844,VIALE DELLA VITTORIA N. 217,Agrigento,084001,92100,cdilozito@libero.it,-,092224310,092220307,AMBULATORIO E LABORATORIO,0,0,-,2,S,1997,0,2018/01/19
190,Sicilia,Agrigento,201,403400,S03,ATTIVITA' DI LABORATORIO,LABORATORIO ANALISI CLINICHE VITO MANNINA S.R.L.,02205530849,VIA PICONE N. 18,Agrigento,084001,92100,vitomannina@alice.it,-,0922596422,0922596422,AMBULATORIO E LABORATORIO,0,0,-,2,S,1997,0,2018/01/02
190,Sicilia,Agrigento,201,403600,S01,ATTIVITA' CLINICA,CENTRO DI DIAGNOSTICA E TERAPIA FISICA DOTT. G. MONTALBANO S.R.L.,02088910845,VIA PIRANDELLO N. 14,Agrigento,084001,92100,rxmontalbano@libero.it,-,092220062,092220062,AMBULATORIO E LABORATORIO,0,0,-,2,S,1997,0,2018/01/02
190,Sicilia,Agrigento,201,403600,S02,DIAGNOSTICA STRUMENTALE E PER IMMAGINI,CENTRO DI DIAGNOSTICA E TERAPIA FISICA DOTT. G. MONTALBANO S.R.L.,02088910845,VIA PIRANDELLO N. 14,Agrigento,084001,92100,rxmontalbano@libero.it,-,092220062,092220062,AMBULATORIO E LABORATORIO,0,0,-,2,S,1997,0,2018/01/02
190,Sicilia,Agrigento,201,403700,S01,ATTIVITA' CLINICA,NOCERA GIUSEPPE,01303690844,VIA PICONE N. 31,Agrigento,084001,92100,noceragiuseppe@gmail.com,-,092229366,092229366,AMBULATORIO E LABORATORIO,0,0,-,2,N,1997,0,2018/01/02
190,Sicilia,Agrigento,201,403800,S01,ATTIVITA' CLINICA,STUDIO OCULISTICO DEL DOTT. FABIO NAVARRA S.A.S,02621350848,VIA S. FRANCESCO D'ASSISI N. 30,Agrigento,084001,92100,navgio@libero.it,-,092222515,0,AMBULATORIO E LABORATORIO,0,0,-,2,N,1997,0,2018/01/02
190,Sicilia,Agrigento,201,404000,S01,ATTIVITA' CLINICA,AMBUL. ODONT. DOTT. MARIA GIOVANNA POMO & CAPITANO S.A.S.,02580960843,VIA IMERA N. 97,Agrigento,084001,92100,mariagiovannapomo@libero.it,-,0922594117,0922594117,AMBULATORIO E LABORATORIO,0,0,-,2,N,1997,0,2018/01/02
190,Sicilia,Agrigento,201,404100,S01,ATTIVITA' CLINICA,ROSANO ANGELA,01422800845,VIA PETRARCA N. 2/BIS,Agrigento,084001,92100,angela.rosano@alice.it,-,0922402141,0,AMBULATORIO E LABORATORIO,0,0,-,2,S,1997,0,2018/01/19
190,Sicilia,Agrigento,201,404200,S03,ATTIVITA' DI LABORATORIO,ANALISI CLINICHE CENTRO FLEMING S.R.L.,02383110844,VIA MANZONI N. 120,Agrigento,084001,92100,mail@centrofleming.it,-,092222452,092222452,AMBULATORIO E LABORATORIO,0,0,-,2,S,1997,0,2018/01/02
190,Sicilia,Agrigento,201,404400,S01,ATTIVITA' CLINICA,STUDIO ENRICO S.A.S. DI SCIMECCA EUGENIO,02182890844,VIA V. EMANUELE ORLANDO N. 1,Agrigento,084001,92100,studio.enrico@virgilio.it,-,0922596615,0922596615,AMBULATORIO E LABORATORIO,0,0,-,2,S,1997,0,2018/01/02
190,Sicilia,Agrigento,201,404500,S01,ATTIVITA' CLINICA,VISION CENTER DEL DOTT. SORCE GIOVANNI & C.- S.A.S.,02709680843,VIA ERACLITO N. 18,Agrigento,084001,92100,spanoguelialletti@libero.it,-,0922607436,0922607436,AMBULATORIO E LABORATORIO,0,0,-,2,N,1997,0,2018/01/02
190,Sicilia,Agrigento,201,404600,S02,DIAGNOSTICA STRUMENTALE E PER IMMAGINI,STUDIO DIAGNOSTICO INTEGRATO S.R.L.,00318590841,VIALE DELLA VITTORIA 271/BIS,Agrigento,084001,92100,kalamasurf@libero.it,-,0922595188,0922594292,AMBULATORIO E LABORATORIO,0,0,-,2,S,1997,0,2018/01/02
190,Sicilia,Agrigento,201,404700,S01,ATTIVITA' CLINICA,CENTRO ODONTO - STOMATOLOGICO S.A.S. DI ZAFFUTO EDOARDO & C.,02647880844,VIA EMPEDOCLE N. 111,Agrigento,084001,92100,ezaffut@gmail.com,-,092229525,092229525,AMBULATORIO E LABORATORIO,0,0,-,2,N,1997,0,2018/01/02
190,Sicilia,Agrigento,201,404800,S03,ATTIVITA' DI LABORATORIO,LAB.AN.CLIN. LIGAMMARI ANNA MARIA & C. S.A.S.,02544480847,"VIA SANTUARIO,4",Alessandria della Rocca,084002,92010,enzomangione54@gmail.com,-,0922981820,0922981820,AMBULATORIO E LABORATORIO,0,0,-,2,S,1997,0,2018/01/02
190,Sicilia,Agrigento,201,404900,S03,ATTIVITA' DI LABORATORIO,CENTRO DIAGNOSTICO DOTT.SSA ALONGI DEL DOTT. DI BETTA GIUSEPPE & C - S.A.S.,02544160845,"VIA ROMA , N.92/93",Aragona,084003,92021,laboratorioalongi@libero.it,-,092237149,092237149,AMBULATORIO E LABORATORIO,0,0,-,2,S,1997,0,2018/01/02
190,Sicilia,Agrigento,201,405000,S03,ATTIVITA' DI LABORATORIO,AESCULAPIUS S.R.L.,02276380843,VIA TORINO N. 10,Aragona,084003,92021,aesculapius.srl@libero.it,-,092237243,0922609218,AMBULATORIO E LABORATORIO,0,0,-,2,S,1997,0,2018/01/02
190,Sicilia,Agrigento,201,405100,S01,ATTIVITA' CLINICA,SCALZO ALDO,01637250844,VIA GIOVANNI XXIII,Aragona,084003,92021,scalzoa@tin.it,-,092238421,092238421,AMBULATORIO E LABORATORIO,0,0,-,2,S,1997,0,2018/01/02
190,Sicilia,Agrigento,201,405300,S01,ATTIVITA' CLINICA,DI MARCO GIUSEPPINA,01648980843,VIA VENEZIA N. 101,Cammarata,084009,92022,dmgiuseppina@live.it,-,0922902347,0922902347,AMBULATORIO E LABORATORIO,0,0,-,2,S,1997,0,2018/01/02
190,Sicilia,Agrigento,201,405400,S01,ATTIVITA' CLINICA,DOTT.SSA LOMBINO CONCETTINA & C. S.A.S.,02658790841,"CORSO MATTEOTTI, 17",Cammarata,084009,92022,concettinalombino@cgn.legamail.it,-,0922902395,0922909196,AMBULATORIO E LABORATORIO,0,0,-,2,S,1997,0,2018/01/16
190,Sicilia,Agrigento,201,405500,S03,ATTIVITA' DI LABORATORIO,ANALISI CLINICHE E MICROBIOLOGICHE DI MANGIAPANE GIUSEPPA & C. - S.A.S.,02546590841,C.SO GIACOMO MATTEOTTI N. 7,Cammarata,084009,92022,man.pina@virgilio.it,-,0922900376,0922900376,AMBULATORIO E LABORATORIO,0,0,-,2,S,1997,0,2018/01/02
190,Sicilia,Agrigento,201,405600,S03,ATTIVITA' DI LABORATORIO,DOTT.SSA BUSCEMI GIUSEPPA & FIGLI S.A.S. - LABORATORIO ANALISI,02429040849,VIA LIBERTA' N. 28,Campobello di Licata,084010,92023,buscemigiuseppina@alice.it,-,0922877383,0922877383,AMBULATORIO E LABORATORIO,0,0,-,2,S,1997,0,2018/01/02
190,Sicilia,Agrigento,201,405700,S03,ATTIVITA' DI LABORATORIO,LABORATORIO ANALISI CLINICHE D.RI CORBO - MONTAPERTO S.N.C.,01300420849,VIA GARIBALDI N.154,Campobello di Licata,084010,92023,laboratoriocorbomontaperto@gmail.com,-,0922877674,0922877674,AMBULATORIO E LABORATORIO,0,0,-,2,S,1999,0,2018/01/02
190,Sicilia,Agrigento,201,405800,S03,ATTIVITA' DI LABORATORIO,LABORATORIO ANALISI CLINICHE DI DIEGO FANARA & C S.A.S.,02155060847,VIA INNOCENZO CAIZZA N. 16,Campobello di Licata,084010,92023,dfanara@libero.it,-,0922878766,0,AMBULATORIO E LABORATORIO,0,0,-,2,S,1997,0,2018/01/02
190,Sicilia,Agrigento,201,405900,S01,ATTIVITA' CLINICA,CENTRO MEDICO DENTISTICO CAPONCELLO-LAURICELLA S.A.S & C.,02232090841,VIA FRANCIA 4 / 6,Canicattì,084011,92024,giovannacaponcello@libero.it,-,0922858888,0922858888,AMBULATORIO E LABORATORIO,0,0,-,2,S,1997,0,2018/01/02
190,Sicilia,Agrigento,201,406400,S03,ATTIVITA' DI LABORATORIO,LABOR. ANALISI BIOLOGICHE E RADIOIMMUNOLOGICHE DOTT.SSA GIARDINA DIEGA S.R.L.,02129450843,"VIA S. ALLENDE, 2",Canicattì,084011,92024,giardina.diega@alice.it,-,0922853932,0922853932,AMBULATORIO E LABORATORIO,0,0,-,2,S,1997,0,2018/01/18
190,Sicilia,Agrigento,201,406500,S02,DIAGNOSTICA STRUMENTALE E PER IMMAGINI,CEDIM S.R.L.,02543230847,VIALE REGINA MARGHERITA N. 47,Canicattì,084011,92024,grecorad@tin.it,-,0922855911,0922736369,AMBULATORIO E LABORATORIO,0,0,-,2,S,1997,0,2018/01/02
190,Sicilia,Agrigento,201,406600,S01,ATTIVITA' CLINICA,LALOMIA GIOACHINO,00666470644,"VIA CAPITANO MAIRA, N. 45",Canicattì,084011,92024,gioachinolalomia@outlook.it,-,0922854225,0922854225,AMBULATORIO E LABORATORIO,0,0,-,2,S,1997,0,2018/01/18
190,Sicilia,Agrigento,201,407200,S01,ATTIVITA' CLINICA,DE MARCO VINCENZO,00684380843,"PIAZZETTA GENERALE DALLA CHIESA ,30",Casteltermini,084012,92025,v_demarco@libero.it,-,0922917622,0922917622,AMBULATORIO E LABORATORIO,0,0,-,2,S,1997,0,2018/01/02
190,Sicilia,Agrigento,201,407500,S01,ATTIVITA' CLINICA,DOTT. GIUSEPPE PELLITTERI & C. STUDIO O.R.L. S.A.S.,02636610848,"VIA GIUSEPPE VERDI, 12",Casteltermini,084012,92025,pellitteri.g@virgilio.it,-,0922911979,0922911979,AMBULATORIO E LABORATORIO,0,0,-,2,S,1997,0,2018/01/02
190,Sicilia,Agrigento,201,407700,S03,ATTIVITA' DI LABORATORIO,CENTRO ANALISI CLINICHE MARCHESE RAGONA S.R.L.,02793960846,VIA I° MAGGIO N. 5,Castrofilippo,084013,92020,labcastrofilippo@libero.it,-,0922829392,0922829392,AMBULATORIO E LABORATORIO,0,0,-,2,S,1997,0,2018/01/02
190,Sicilia,Agrigento,201,407900,S03,ATTIVITA' DI LABORATORIO,CENTRO ANALISI CLINICHE DI GAGLIANO GIUSEPPE S.A.S.,02140610847,"VIA MARTORANA, 2",Cianciana,084015,92012,giuseppe.gaglia1948@libero.it,-,0922984038,0922984038,AMBULATORIO E LABORATORIO,0,0,-,2,S,1997,0,2018/01/02
190,Sicilia,Agrigento,201,408000,S01,ATTIVITA' CLINICA,STUDIO CARDIOLOGICO DOTT. ALAIMO GAETANO & C. S.N.C.,02141880845,VIA BASSANESI N. 1,Favara,084017,92026,alaimi@libero.it,-,0922420344,0922420344,AMBULATORIO E LABORATORIO,0,0,-,2,S,1997,0,2018/01/19
190,Sicilia,Agrigento,201,408100,S01,ATTIVITA' CLINICA,ALBA GIOVANNA & C. S.A.S.,02098120849,CORTILE COPERNICO N. 40,Favara,084017,92026,alba.giovanna@alice.it,-,0922419944,0922419944,AMBULATORIO E LABORATORIO,0,0,-,2,N,1997,0,2018/01/02
190,Sicilia,Agrigento,201,408200,S01,ATTIVITA' CLINICA,CINQUEMANI DOTT. SSA CARMELA OCULISTA S.A.S.,02677080844,VIA UMBERTO N.107,Favara,084017,92026,grecolorenzo@alice.it,-,0922420708,0922420708,AMBULATORIO E LABORATORIO,0,0,-,2,N,1997,0,2018/01/19
190,Sicilia,Agrigento,201,408300,S01,ATTIVITA' CLINICA,AMBULATORIO DERMATOLOGICO DOTTOR DI STEFANO GIUSEPPE S.A.S.,02622410849,VIA PIERSANTI MATTARELLA N. 3/A,Favara,084017,92026,distefanogiuseppe@alice.it,-,0922437010,0922594051,AMBULATORIO E LABORATORIO,0,0,-,2,N,1997,0,2018/01/19
190,Sicilia,Agrigento,201,408500,S01,ATTIVITA' CLINICA,DOTTOR MARCO NIPO S.A.S. DI NIPO TARSIA & C.,02275360846,VIA VITTORIO EMANUELE N. 22,Favara,084017,92026,marco.nipo@inwind.it,-,0922415077,092231388,AMBULATORIO E LABORATORIO,0,0,-,2,N,1997,0,2018/01/02
190,Sicilia,Agrigento,201,408600,S03,ATTIVITA' DI LABORATORIO,CENTRO ANALISI CLINICHE S.R.L.,02179450842,VIA MULINO N. 4,Favara,084017,92026,centroanalisinobile@alice.it,-,092232322,092232322,AMBULATORIO E LABORATORIO,0,0,-,2,S,1997,0,2018/01/02
190,Sicilia,Agrigento,201,408700,S03,ATTIVITA' DI LABORATORIO,CENTRO ANALISI DARWIN DR. SCIUME' S.R.L.,02089170845,VIA PAPA LUCIANI N. 19,Favara,084017,92026,analisidarwin@libero.it,-,092232390,092232390,AMBULATORIO E LABORATORIO,0,0,-,2,S,1997,0,2018/01/02
190,Sicilia,Agrigento,201,408800,S01,ATTIVITA' CLINICA,SORCE ROSARIO & C. S.A.S,02244640849,CORTILE MULE' N. 9,Favara,084017,92026,sorce.rosario@libero.it,-,0922436267,0922436267,AMBULATORIO E LABORATORIO,0,0,-,2,N,1997,0,2018/01/19
190,Sicilia,Agrigento,201,408900,S03,ATTIVITA' DI LABORATORIO,BIOECO ANALISI S.R.L.,02416400840,VIA CAPITANO CALLEA N. 30,Favara,084017,92026,bioecoanalisi@alice.it,-,0922415473,0922415473,AMBULATORIO E LABORATORIO,0,0,-,2,S,1997,0,2018/01/02
190,Sicilia,Agrigento,201,409200,S03,ATTIVITA' DI LABORATORIO,LAB ANALISI CLINICHE DOTT. SSE R. DAMANTI & S. PARLA S.N.C.,02116530847,VIA CANONICO MORINELLO N. 8,Licata,084021,92027,parlafrancesco@virgilio.it,-,0922891361,0922891361,AMBULATORIO E LABORATORIO,0,0,-,2,S,1997,0,2018/01/02
190,Sicilia,Agrigento,201,409400,S01,ATTIVITA' CLINICA,STUDIO MEDICO SPECIALISTICO DOTT. GIUSEPPE GRILLO & BERTI ROBERTA S.A.S.,00595510843,VIA DESSIE' N. 13,Licata,084021,92027,grberti@yahoo.it,-,0922775227,0922775227,AMBULATORIO E LABORATORIO,0,0,-,2,N,1997,0,2018/01/02
190,Sicilia,Agrigento,201,409500,S01,ATTIVITA' CLINICA,CENTRO CARDIOVASCOLARE DEL DOTTOR SERGIO LICATA & C. S.A.S.,02374900849,VIA DANTE N. 17,Licata,084021,92027,sergiolicata@inwind.it,-,0922773086,0922773086,AMBULATORIO E LABORATORIO,0,0,-,2,S,1997,0,2018/01/02
190,Sicilia,Agrigento,201,409700,S03,ATTIVITA' DI LABORATORIO,LAB. ANALISI CLINICHE E RADIOIMMUNOLOGICHE DOTT. MARRA GIUSEPPE & C. S.N.C.,02168300842,"PIAZZA LINARES , 4",Licata,084021,92027,marra.g@tin.it,-,0922775444,0922806082,AMBULATORIO E LABORATORIO,0,0,-,2,S,1997,0,2018/01/02
190,Sicilia,Agrigento,201,409800,S01,ATTIVITA' CLINICA,CENTRO DERMATOLOGICO DOTT. CRISTOFARO PIACENTI & C. S.A.S.,02391830847,PIAZZA LINARES N. 8,Licata,084021,92027,cristofaro.piacenti@tin.it,-,0922772479,0922772479,AMBULATORIO E LABORATORIO,0,0,-,2,N,1997,0,2018/01/08
190,Sicilia,Agrigento,201,410000,S01,ATTIVITA' CLINICA,TRINACRIA S.A.S DI RIOLO GIUSEPPE & C. S.A.S.,02433950843,CORSO SERROVIRA N. 280,Licata,084021,92027,mariantonietta_cap@yahoo.it,-,0922773854,0922773854,AMBULATORIO E LABORATORIO,0,0,-,2,N,1997,0,2018/01/16
190,Sicilia,Agrigento,201,410100,S02,DIAGNOSTICA STRUMENTALE E PER IMMAGINI,STUDIO MEDICO ASSOCIATO DIAGNOSTICA PER IMMAGINI TIRRI DEL DR. TIRRI LUIGI S.A.S.,02058350840,CORSO UMBERTO N. 100,Licata,084021,92027,luigitirri@virgilio.it,-,0922774980,0922777137,AMBULATORIO E LABORATORIO,0,0,-,2,S,1997,0,2018/01/16
190,Sicilia,Agrigento,201,410200,S03,ATTIVITA' DI LABORATORIO,LAB AN CLIN. DOTT. URSO SANTA ANNA & C. S.A.S.,02230030849,VIA MOGADISCIO N. 31,Licata,084021,92027,analisiclinicheurso@virgilio.it,-,0922775445,0922775445,AMBULATORIO E LABORATORIO,0,0,-,2,S,1997,0,2018/01/08
190,Sicilia,Agrigento,201,410300,S03,ATTIVITA' DI LABORATORIO,DR. VINCENTI GIOVANNA,01373890845,VIA IPPOLITO NIEVO N. 2,Licata,084021,92027,giovannavincenti@alice.it,-,0922802263,0922802263,AMBULATORIO E LABORATORIO,0,0,-,2,S,1997,0,2018/01/08
190,Sicilia,Agrigento,201,410400,S01,ATTIVITA' CLINICA,MARRETTA DOTT. ANTONINO & C. DELLA DOTT.SSA LIBASCI GRAZIA STUDIO DI ORTOPEDIA E FISIOKINESITERAPIA,02272400843,VIA MANDORLO N. 72,Menfi,084023,92013,marrettaantonino@tiscali.it,-,092572444,092572444,AMBULATORIO E LABORATORIO,0,0,-,2,S,1997,0,2018/01/02
190,Sicilia,Agrigento,201,410500,S03,ATTIVITA' DI LABORATORIO,ANALISI CLINICHE DEI DOTTORI ACCORDINO F. & LA BELLA C. S.N.C.,02267600845,VIA ALESSANDRO VOLTA N. 34,Menfi,084023,92013,analisiclinicheaccordino@virgilio.it,-,092573044,092573044,AMBULATORIO E LABORATORIO,0,0,-,2,S,1997,0,2018/01/02
190,Sicilia,Agrigento,201,410700,S01,ATTIVITA' CLINICA,STUDIO DENTISTICO DEL DOTT. GIUSEPPE MESSINA & C - S.A.S.,02229170846,V.LE RISORGIMENTO N. 95,Menfi,084023,92013,dott.giuseppemessina@libero.it,-,092571270,092571270,AMBULATORIO E LABORATORIO,0,0,-,2,S,1997,0,2018/05/14
190,Sicilia,Agrigento,201,411000,S03,ATTIVITA' DI LABORATORIO,CENTRO EMODIAGNOSTICO ANALISI CLINICHE SANTI BIVONA S.R.L.S.,02809510841,VIA DELLA VITTORIA N. 240,Menfi,084023,92013,ceacsantibivona@gmail.com,-,092572209,092572209,AMBULATORIO E LABORATORIO,0,0,-,2,S,1997,0,2018/01/02
190,Sicilia,Agrigento,201,411100,S03,ATTIVITA' DI LABORATORIO,LABGEN DI ANGELA FLORES DICO S.N.C.,02129810848,"VIA INGRAUDO GAGLIANO SALVATORE ,N. 17",Montallegro,084024,92010,info@labgen.it,www.labgen.it,3381178842,0922847065,AMBULATORIO E LABORATORIO,0,0,-,2,S,1997,0,2018/01/02
190,Sicilia,Agrigento,201,411200,S03,ATTIVITA' DI LABORATORIO,LABORATORIO ANALISI CLINICHE DEI D.RI R. FABRICA E G. BONA S.R.L.,02127640841,"VIA CASTRONOVO, 8/10",Naro,084026,92028,giovanni.bona2@tin.it,-,0922956751,0,AMBULATORIO E LABORATORIO,0,0,-,2,S,1997,0,2018/01/02
