Anno,Codice Regione,Codice Azienda,Codice struttura,Denominazione struttura,Partita IVA,Codice Comune,Indirizzo,CAP,Prefisso,Telefono,Prefisso fax,Numero fax,Sito web,E-mail,Tipo struttura,Tipo IRCCS/A.O. Univ. e Policlinico,Tipo casa di cura,Dipartimento emergenza,Centro trasfusionale,Servizio rianimazione,Diagnostica per immagini,Radioterapia,Oncologia medica,Servizio dialisi,Pronto soccorso,Sale operatorie,Posti camere iperbariche,Incubatrici,Ambulanze tipo A,Ambulanze tipo A con medico,Ambulanze tipo B,Ambulanze pediatriche,Ambulanze trasp. emergenza neonato,Unità mobili rianimazione,Anno apertura,Mese apertura,Giorno apertura,Anno chiusura,Mese chiusura,Giorno chiusura,Apparecchiature tecnico biomediche,Attività riabilitazione,Attività day surgery,Attività pediatrica,Culle,Data aggiornamento
2018,190,203,190517,CASA DI CURA VILLA DEI GERANI SrL,00288180870,087015,VIII STRADA ZONA INDUSTRIALE,95121,095,596401,095,596408,,accettazione.gerani@carmide.it,05,,1,,,,,,,,,0,0,0,0,0,0,0,0,0,1978,03,01,0000,00,00,X,X,,,0,20180122
2018,190,203,190519,HUMANITAS CENTRO CATANESE DI ONCOLOGIA,00288060874,087015,VIA V.E. DA BORMIDA 64,95126,095,7339000,095,336989,www.ccocatania.it,salvina.scire@ccocatania.it,05,,1,,,X,X,X,X,,,4,0,0,0,0,0,0,0,0,1968,05,06,0000,00,00,X,,,,0,20180122
2018,190,203,190520,CASA CURA CENTRO CATANESE MED. E CH.,00496120874,087015,VIA BATTELLO 48,95126,095,7323111,095,7323532,"www,ccmc.it",info@ccmc.it,05,,1,,,,X,,,X,,3,0,0,0,0,0,0,0,0,2003,07,01,0000,00,00,X,,,,0,20180122
2018,190,203,190521,CASA DI CURA CARMIDE,00288880870,087015,VIA FEUDO GRANDE 13,95126,095,7529111,095,494234,,accettazione@carmide.it,05,,1,,,,,,,,,0,0,0,0,0,0,0,0,0,1974,05,01,0000,00,00,X,X,,,0,20180122
2018,190,203,190523,CASA DI CURA GIBIINO SRL,02205770874,087015,VIALE ODORICO DA PORDENONE 25,95128,095,501224,095,501298,www.casadicuragibiino.it,info@casadicuragibino.it,05,,1,,,,X,,,,,2,0,0,0,0,0,0,0,0,1977,10,21,0000,00,00,X,,,,0,20180329
2018,190,203,190553,CASA DI CURA RIABILITATIVA VILLA SOFIA,00558180873,087004,"VIA DELLE TERME, 80",95024,095,7631997,095,7636068,,villasofia@cataniacura.it,05,,1,,,,X,,,,,0,0,0,0,0,0,0,0,0,2000,07,20,0000,00,00,X,X,,,0,20180122
2018,190,203,190554,ISTITUTO ONCOLOGICO DEL MEDITERRANEO SPA,02744310877,087053,VIA PENNINAZZO 7,95029,095,7895000,095,7891320,,,05,,1,,,X,X,,X,,,3,0,0,0,0,0,0,0,0,2002,07,01,0000,00,00,X,,,,0,20180122
2018,190,203,190555,CASA DI CURA MONS. G. CALACIURA Cenacolo,02173180874,087008,SPBiancavillaMontalto Cda CrocealVallone,95033,095,7710211,095,7710276,www.centroriabilitativocalaciura.it,crc@operacenacolo.it,05,,1,,,,,,,,,0,0,0,0,0,0,0,0,0,2010,03,15,0000,00,00,X,X,,,0,20180122
2018,190,203,190709,CASA DI CURA CLIN.BASILE GEST.TIGANO SRL,01207900893,087015,V.LE ODORICO DA PORDENONE 1,95128,095,501329,095,501333,,clinicabasile@yahoo.it,05,,1,,,,X,,,,,0,0,0,0,0,0,0,0,0,1961,12,01,0000,00,00,X,,,,0,20180122
2018,190,203,190710,CASA DI CURA PROF.E.FALCIDIA SrL,03970180877,087015,V.LE ODORICO DA PORDENONE 32/34,95126,095,580578,095,223068,www.falcidia.it,info@falcidia.it,05,,1,,,,X,,,,,2,0,8,0,0,0,0,0,0,1967,03,03,0000,00,00,X,,,,27,20180302
2018,190,203,190712,CASA DI CURA MUSUMECI GECAS SRL,03381600877,087019,Via Dell'Autonomia 57,95127,095,7504611,095,7504630,www.grupposamed.com,casadicuramusumeci@grupposame,05,,1,,,,X,,,,,3,0,0,0,0,0,0,0,0,1997,07,14,0000,00,00,X,,,,0,20180122
2018,190,203,190715,CASA DI CURA VILLA S.FRANCESCO,04928140872,087015,V.LE ODORICO DA PORDENONE 46/48,95126,095,580520,,,,villasanfrancesco@tiscali.it,05,,1,,,,,,,,,2,0,0,0,0,0,0,0,0,1986,01,01,0000,00,00,X,,,,0,20180122
2018,190,203,190723,CASA DI CURA VALSALVA SRL,01275220893,087015,"V.LE A. USODIMARE, 109",95126,095,7141924,095,515616,,amministrazione@casadicuravalsalva.it,05,,1,,,,X,,,,,3,0,0,0,0,0,0,0,0,1999,09,09,0000,00,00,X,,,,0,20180122
2018,190,203,190724,ISCAS MORGAGNI NORD SRL,00248620874,087034,VIA DELLA RESISTENZA 31,95030,095,7026651,095,7026651,www.policlinicomorgagni.it,dirsan@centrocuore.it,05,,1,,,X,X,,,,,3,0,0,0,0,0,0,0,0,1993,01,22,0000,00,00,X,,,,0,20180122
2018,190,203,190725,PRIVATE HOSPITAL ARGENTO srl,05181800870,087015,VIA OTTAVIO D`ARCANGELO 16,95123,095,515504,095,5124150,,privatehospitalargento@impresapec.it,05,,1,,,,X,,,,,3,0,0,0,0,0,0,0,0,1973,05,09,0000,00,00,X,,,,0,20180302
2018,190,203,190726,ISTITUTO CLINICO VIDIMURA srl,02310340878,087015,Piazza Mancini Battaglia n.5,95126,095,408111,095,408502,www.gretterlucina.it,segreteria@istitutoclinicovidimura,05,,1,,,,X,,,,,4,0,6,0,0,0,0,0,0,2017,06,22,0000,00,00,X,,,,15,20180122
2018,190,204,190319,P. O. 'UMBERTO I',01151150867,086009,C.da Ferrante,94100,0935,516111,0935,516299,,dirsan.umberto@asp.enna.it,01,,,,X,X,X,X,X,X,X,3,0,11,2,1,1,0,0,1,2009,09,01,0000,00,00,X,,,,17,20180312
2018,190,204,190320,P. O. 'M. CHIELLO',01151150867,086014,CONTRADA BELLIA,94015,0935,981111,0935,981731,www.asp.enna.it,dirsan.chiello@asp.enna.it,01,,,,,,X,,,,X,3,0,1,2,0,0,0,0,0,2009,09,01,0000,00,00,X,,,,0,20180312
2018,190,204,190321,P. O. 'FERRO-CAPRA-BRANCIFORTE',01151150867,086011,CONTRADA S. GIOVANNI,94013,0935,664111,0935,664427,,ufficiosdo.fbc@asp.enna.it,01,,,,,,X,,,,X,2,0,0,1,0,0,0,0,0,2009,09,01,0000,00,00,X,,,,0,20180312
2018,190,204,190322,P. O. 'CARLO BASILOTTA',01151150867,086012,VIA S. GIOVANNI,94014,0935,671111,0935,671212,www.asp.enna.it,dirsan.nicosia@asp.enna.it,01,,,,X,,X,,,X,X,3,0,2,2,0,0,0,0,0,2009,09,01,0000,00,00,X,,,,8,20180312
2018,190,205,190323,P.O. 'NUOVO CUTRONI ZODDA' BARCELLONA,03051870834,083005,CONTRADA S. ANDREA,98051,090,97511,090,9751763,,ospedale.barcellona@asp.messina.it,01,,,,,,X,,,X,X,3,0,0,1,1,1,0,0,0,2009,09,01,0000,00,00,X,,,,0,20180207
2018,190,205,190324,P.O. LIPARI,03051870834,083041,VIA S. ANNA,98055,090,9885402,090,9885402,,ospedale.lipari@asp.messina.it,01,,,,,,X,,,X,X,1,5,3,0,0,3,0,0,0,2009,09,01,0000,00,00,X,,,,7,20180207
2018,190,205,190325,P.O. 'G. FOGLIANI' MILAZZO,03051870834,083049,VILLAGGIO GRAZIA,98057,090,92901,090,9290446,,ospedale.milazzo@asp.messina.it,01,,,,X,X,X,,,X,X,6,0,5,0,0,0,0,0,0,2009,09,01,0000,00,00,X,,,,12,20180207
2018,190,205,190326,P.O.' S. VINCENZO' TAORMINA,03051870834,083097,CONTRADA SIRINA,98039,0942,5791,0942,52215,,direzione.osptaormina@asp.messina.it,01,,,1,X,X,X,X,X,X,X,10,0,4,0,0,1,0,0,0,2009,09,01,0000,00,00,X,,,,10,20180207
2018,190,205,190327,P.O. 'SS. SALVATORE' MISTRETTA,03051870834,083052,VIA ANNA SALAMONE,98073,0921,389111,0921,389224,www.asp.messina.it,ospedale.mistretta@asp.messina.it,01,,,,,,X,,,,X,2,0,0,0,0,0,0,0,0,2009,09,01,0000,00,00,X,,,,0,20180207
2018,190,205,190328,P.O. 'BARONE-ROMEO' PATTI,03051870834,083066,VIA MAZZINI,98066,0941,244111,0941,21562,,,01,,,,X,X,X,,,X,X,5,0,17,0,0,2,0,0,0,2009,09,01,0000,00,00,X,,,,20,20180301
2018,190,205,190329,STABILIMENTO OSPED. S. AGATA MILITELLO,03051870834,083084,VIA MEDICI,98076,0941,7201,0941,720426,,ospedale.sagata@asp.messina.it,01,,,,X,,X,,,,X,3,0,2,0,0,1,0,0,0,2009,09,01,0000,00,00,X,,,,6,20180207
2018,190,205,190524,I.O.M.I. F.SCALABRINO GANZIRRI,06619881003,083048,VIA CONS POMPEA 360 GANZIRRI MESSINA,98165,090,39711,090,391392,www.giomi.it,info@giomi.com,05,,1,,,,X,,,,,4,0,0,0,0,0,0,0,0,1956,11,21,0000,00,00,X,,,,0,20180223
2018,190,205,190525,CASA DI CURA S.CAMILLO,00191770833,083048,VIALE P.UMBERTO N.71 MESSINA,98122,090,6402317,090,661120,www.casadicurasancamillome.it,casadicurasancamillo@virgilio.it,05,,1,,,,X,,,,,3,0,0,0,0,0,0,0,0,1966,09,01,0000,00,00,X,,,,0,20180209
2018,190,205,190526,CASA DI CURA CRISTO RE,00191850833,083048,VIALE P.UMBERTO N.89 MESSINA,98122,090,3718111,090,3719133,www.casadicuracristore.it,direzione@casadicuracristore.it,05,,1,,,,X,,,,,3,0,0,0,0,0,0,0,0,1973,07,20,0000,00,00,X,,,,0,20180209
2018,190,205,190527,CASA DI CURA CARMONA SRL,01428290892,083048,VIALE P.UMBERTO N.75/G,98122,090,711001,090,714980,www.carmonacasadicura.it,commerciale@carmonacasadicura.it,05,,1,,,,X,,X,,,3,0,0,0,0,0,0,0,0,1995,01,01,0000,00,00,X,,,,0,20180209
2018,190,205,190528,CASA DI CURA VILLA SALUS S.A.S.,01379750837,083048,VIALE REG.MARGHERITA N. 15/B MESSINA,98121,090,36901,090,45558,www.casadicuravillasalus.it,vsalus@tin.it,05,,1,,,,X,,X,,,2,0,0,0,0,0,0,0,0,1961,06,01,0000,00,00,X,,,,0,20180209
2018,190,205,190530,C.O.T. S.P.A. (CURE ORTOPED. TRAUM.),00184810836,083048,VIA DUCEZIO N.1,98124,090,660224,090,6409680,www.cotmessina.it,amministrazione@cotmessina.it,05,,1,,,,X,,,,,3,0,0,0,0,0,0,0,0,1973,08,01,0000,00,00,X,,,,0,20180209
2018,190,205,190531,CASA DI CURA VILLA IGEA SRL,00184760833,083048,VIA CONSOLARE VALERIA N 47 MESSINA,98124,090,2930323,090,696550,www.cdcvillaigea.it,casadicuravillaigeasrl@virgilio.it,05,,1,,,,X,,,,,0,0,0,0,0,0,0,0,0,1961,06,01,0000,00,00,X,,,,0,20180209
2018,190,205,190601,CENTRO CHIRURGICO VILLA MARIA S.R.L.,01926280833,083048,S.S.113 - ORTOLIUZZO KM. 32,98161,090,348380,090,348380,www.villamariadaysurgery.it,info@villamariadaysurgery.it,05,,2,,,,,,,,,1,0,0,0,0,0,0,0,0,2007,03,01,0000,00,00,X,,,,0,20180209
2018,190,205,190716,CASA DI CURA CAPPELLANI GIOMI S.P.A.,11060571004,083048,VIALE REG.ELENA N.335,98121,090,3681,090,42285,,info.cappellanigiomi@giomi.com,05,,1,,,,X,,,,,3,0,0,0,0,0,0,0,0,2002,07,01,0000,00,00,X,,,,0,20180209
2018,190,206,190179,FOND. IST. S. RAFFAELE - GIGLIO,05205490823,082027,C.DA PIETRAPOLLASTRA,90015,0921,920652,0921,920513,www.HSRGIGLIO.IT,direzionegenerale@pec.hsrgiglio.it,00,,,1,X,X,X,,X,X,X,5,0,2,1,1,0,0,0,1,2003,07,01,0000,00,00,X,,,,10,20180301
2018,190,206,190199,OSP. BUCCHERI LA FERLA FATEBENEFRATELLI,,082053,VIA M. MARINE 197,90127,091,479325,091,479385,www.ospedalebuccherilaferla.it,scaletta.gino@fbf.it,04,,,1,,X,X,,X,,X,6,0,12,0,0,0,0,0,0,1988,01,01,0000,00,00,X,,,,32,20180125
2018,190,206,190330,P.O. DEI BIANCHI CORLEONE,05841760829,082034,VIA DON G. COLLETTO,90034,091,8450100,091,8450112,,dirsancorleone@asppalermo.org,01,,,,,X,X,,,,X,1,2,0,3,2,0,0,0,1,2009,09,01,0000,00,00,X,,,,6,20180423
2018,190,206,190332,P.O. CIVICO PARTINICO,05841760829,082054,VIA CIRCONVALLAZIONE 1,90047,091,8911300,091,8911165,,segretaria.partinoco@asppalermo.org,01,,,,,X,X,,,,X,5,4,2,2,0,0,0,0,0,2009,09,01,0000,00,00,X,,,,15,20180226
2018,190,206,190333,P.O. MADONNA DELL'ALTO - PETR. SOTTANA,05841760829,082056,CONTRADA SANTA ELIA,90027,0921,682111,0921,682074,,dirsanpetralia@ausppalermo.org,01,,,,,X,X,,,,X,2,2,1,0,0,1,0,0,2,2009,09,01,0000,00,00,X,,,,6,20180227
2018,190,206,190334,P.O. S. CIMINO TERMINI IMERESE,05841760829,082070,VIA SALVATORE CIMINO,90018,091,8151111,091,8151228,,dirsantermini@asppalermo.org,01,,,1,,,X,,,,X,3,0,4,1,0,0,0,0,0,2009,09,01,0000,00,00,X,,,,19,20180226
2018,190,206,190335,P.O. G. F. INGRASSIA,05841760829,082053,"C.SO CALATAFIMI, 1002",90100,091,7033731,091,7033766,,dsingrassia@gmail.com,01,,,1,,X,X,,,,X,3,0,14,1,0,0,0,0,0,2009,09,01,0000,00,00,X,,,,16,20180226
2018,190,206,190337,P.O. VILLA DELLE GINESTRE,05841760829,082053,"VIA CASTELLANA, 145",90135,091,6743111,091,6743140,,villadelleginestre@asppalermo.org,01,,,,,,X,,,,,1,0,0,0,0,0,0,0,0,2011,02,15,0000,00,00,X,X,,,0,20180226
2018,190,206,190532,CASA DI CURA IGEA S.N.C.,00635720824,082054,VIA ROMA 193,90047,091,8907410,091,8782296,wwwigeacasadicura.it,info@igeacasadicura.it,05,,1,,,,X,,,,,3,0,0,0,0,0,0,0,0,1978,12,19,0000,00,00,X,,,,0,20180228
2018,190,206,190533,CASA DI CURA CANDELA SPA,00118410828,082053,VIA VILLAREALE 54,90141,091,587122,091,589344,wwwclinicacandela.it,amministrazione@pec.clinicacandela.it,05,,1,,,,,,,,,3,0,6,0,0,0,0,0,0,1991,07,10,0000,00,00,X,,,,25,20180228
2018,190,206,190534,CASA DI CURE ORESTANO S.R.L.,00295440820,082053,"VIA PIETRO D`ASARO, N 48",90138,091,6044111,091,323090,www.casadicureorestano.it,info@casadicuraorestano.it,05,,1,,,,X,,X,,,5,0,0,0,0,0,0,0,0,1921,07,01,0000,00,00,X,,,,0,20180228
2018,190,206,190536,CASA DI CURA 'TRIOLO ZANCLA' S.P.A.,03599540824,082053,P.ZZA FONDERIA N.23,90133,091,6054111,091,324463,,direzione@triolozancla.com,05,,1,,,,,,,,,2,0,6,0,0,0,0,0,0,1978,01,01,0000,00,00,X,,,,20,20180228
2018,190,206,190537,CASA DI CURA SERENA S.P.A.,00611390824,082053,VIA DELLA REGIONE SICILIANA 1470,90135,091,6985111,091,4066459,wwwcasadicuraserena.it,info@casadicuraserena.it,05,,1,,,,X,,,,,5,0,2,0,0,0,0,0,0,1967,11,01,0000,00,00,X,,,,15,20180427
2018,190,206,190538,CASA DI CURA NOTO PASQUALINO S.R.L.,00712600824,082053,VIA DANTE 330,90141,091,6837111,091,6829699,wwwclinicanoto.it,clinicanotosrl@libero.it,05,,1,,,,X,,,,,5,0,0,0,0,0,0,0,0,1927,01,02,0000,00,00,X,,,,0,20180228
2018,190,206,190539,NUOVA CASA DI CURA D`ANNA PIA ASS. SRL,02723640831,082053,"V.LE REGIONE SICILIANA ,900 SUD EST",90129,091,484178,091,423064,,protocollo@pec.nuovacasadicuradanna.it,05,,1,,,,X,,,,,0,0,0,0,0,0,0,0,0,1984,01,01,0000,00,00,X,,,,0,20180115
2018,190,206,190540,NUOVA CASA DI CURA DEMMA srl,05112210827,082053,VIALE REGINA MARGHERITA 5,90138,091,6811217,,,www.clinicademma.it,amministrazione@clinicademma.it-clinicademma@pec.i,05,,1,,,,,,,,,3,0,0,0,0,0,0,0,0,1984,01,01,0000,00,00,X,,,,0,20180111
2018,190,206,190541,CASA DI CURA MACCHIARELLA S.P.A.,00301520821,082053,VIALE REGINA MARGHERITA 25,90138,091,7022111,091,6517049,www.cacadicuramacchiarella.it,cdcmacchiarella@pec.it-ragioneria@casadicuramacchi,05,,1,,,,X,X,X,,,3,0,0,0,0,0,0,0,0,1957,01,01,0000,00,00,X,,,,0,20180228
2018,190,206,190542,CASA DI CURA TORINA,00734750821,082053,VIA F. SPALLITTA N.18,90145,091,6838111,091,6824130,www.casadicuratorina.it,casadicuratorina@katamail.com,05,,1,,,,X,,X,,,2,0,0,0,0,0,0,0,0,1959,01,02,0000,00,00,X,,,,0,20180115
2018,190,206,190543,CASA DI CURA VILLA MARGHERITA,02533080822,082053,"VIA MARCHESE DI VILLABIANCA, 6",90143,091,344640,091,344640,,,05,,1,,,,X,,,,,0,0,0,0,0,0,0,0,0,1981,09,01,0000,00,00,X,,,,0,20180102
2018,190,206,190545,CASA DI CURE COSENTINO DI KAROL S.R.L.,06065240829,082053,CORSO DEI MILLE 56,90123,091,6162016,091,6162016,,Karolstrutturesanitarie@pec.it,05,,1,,,,,,,,,2,0,0,0,0,0,0,0,0,2011,02,01,0000,00,00,X,,,,0,20180226
2018,190,206,190551,CASA DI CURA LA MADDALENA S.P.A.,04413030828,082053,"VIA S. LORENZO COLLI, 312/D",90146,091,6806111,091,6806906,www.lamaddalenanet.it,info@lamaddalenanet.it,05,,1,,,,X,X,X,,,3,0,0,0,0,0,0,0,0,1999,02,02,0000,00,00,X,,,,0,20180227
2018,190,206,190602,CENTRO ANDROS S.R.L.,03730190828,082053,VIA AUSONIA 43/45,90144,091,6785511,091,6785522,www.centroandros.it,info@centro andros.it,05,,1,,,,,,,,,2,0,0,0,0,0,0,0,0,2000,08,07,0000,00,00,X,,,,0,20180228
2018,190,206,190718,CASA DI CURA LATTERI VALSAVA S.R.L.,01275220893,082053,"VIA F. CORDOVA, 62",90143,091,7215111,091,302438,www.casadicuralatteri.it,clinicalatteri@casadicuralatteri.it,05,,1,,,,X,,,,,2,0,0,2,0,0,0,0,0,1989,01,09,0000,00,00,X,,,,0,20180228
2018,190,206,190720,CASA DI CURA VILLA MARIA ELEONORA,03790910826,082053,"VIALE REGIONE SICILIANA,1571",90135,091,6981111,091,6981366,WWW.GVM-VME.IT,GVM-VME@legalmail.IT,05,,1,,,X,X,,,,,4,0,0,0,0,0,0,0,0,1991,10,19,0000,00,00,X,,,,0,20180115
2018,190,207,190338,OSPEDALE ' CIVILE MARIA PATERNO' AREZZO,01426410880,088009,"PIAZZA CADUTI DI NASSARYA,1",97100,0932,600796,0932,600795,,pasquale.granata@asp.rg.it,01,,,,X,X,X,X,X,X,X,7,0,14,1,0,1,0,0,2,2009,09,01,0000,00,00,X,,,,28,20180126
