Anno,Codice Regione,Codice Azienda,Codice struttura,Tipo assistenza erogata,Descrizione tipo assistenza erogata,Denominazione struttura,Partita IVA,Indirizzo,Codice Comune,CAP,E-mail,Sito web,Prefisso,Telefono,Prefisso fax,Numero fax,Tipo struttura,Tipo struttura di ricovero,Codice struttura di ricovero,Denominazione struttura di ricovero,Mesi di funzionamento,Tipo rapporto con il S.S.N.,Titolare della convenzione,Presenza Apparecchiature,Anno apertura,Mese apertura,Anno chiusura,Mese chiusura,Giorni settimanali di apertura,Ore settimanali di apertura,Data aggiornamento
2018,190,201,401700,S01,ATTIVITA' CLINICA,CENTRO FISIOKINESITERAPIA ELIOS - SOC. COOPER. - A.R.L.,00590560843,VIA RAGAZZI DEL '99 N. 68/72,084001,92100,centromedicoelios@alice.it,,0922,595101,0922,404092,AMBULATORIO E LABORATORIO,,,,12,2,2,S,1997,01,,,5,35,20180102
2018,190,201,401700,S02,DIAGNOSTICA STRUMENTALE E PER IMMAGINI,CENTRO FISIOKINESITERAPIA ELIOS - SOC. COOPER. - A.R.L.,00590560843,VIA RAGAZZI DEL '99 N. 68/72,084001,92100,centromedicoelios@alice.it,,0922,595101,0922,404092,AMBULATORIO E LABORATORIO,,,,12,2,2,S,1997,01,,,5,35,20180102
2018,190,201,401700,S03,ATTIVITA' DI LABORATORIO,CENTRO FISIOKINESITERAPIA ELIOS - SOC. COOPER. - A.R.L.,00590560843,VIA RAGAZZI DEL '99 N. 68/72,084001,92100,centromedicoelios@alice.it,,0922,595101,0922,404092,AMBULATORIO E LABORATORIO,,,,12,2,2,S,1997,01,,,5,35,20180102
2018,190,201,401900,S01,ATTIVITA' CLINICA,CINA' ANTONINO,01322630847,VIA GIOENI N. 30,084001,92100,antocina@tin.it,,0922,22899,0922,22899,AMBULATORIO E LABORATORIO,,,,12,2,1,N,1997,01,,,5,16,20180102
2018,190,201,402000,S01,ATTIVITA' CLINICA,CENTRO DERMATOLOGICO DOTTOR CARMELO SGARITO & C. S.A.S.,02622620843,VIA F. CRISPI N. 146,084001,92100,carmelosgarito@libero.it,,0922,479131,0922,479610,AMBULATORIO E LABORATORIO,,,,12,2,2,N,1997,01,,,6,29,20180119
2018,190,201,402200,S01,ATTIVITA' CLINICA,AMBULATORIO MEDICO DENTISTICO CARDILE E C. S.A.S.,02442600843,"CORSO COMMENDATORE CINQUEMANI ARCURI, N. 133",084015,92012,ambulatoriocardile@legamail.it,,320,8985092,,,AMBULATORIO E LABORATORIO,,,,12,2,2,S,1997,01,,,5,45,20180109
2018,190,201,402400,S01,ATTIVITA' CLINICA,SMILE CENTER S.N.C. DI ASARO SALVATORE DOMENICO,02229620840,VIA ROOSEVELT N. 50,084031,92029,SMILECENTER2012@VIRGILIO.IT,,0922,881144,0922,881144,AMBULATORIO E LABORATORIO,,,,12,2,2,S,1997,01,,,4,16,20180102
2018,190,201,402500,S01,ATTIVITA' CLINICA,STUDIO DENTISTICO DE LUCA DI MORREALE ANTONIO S.N.C.,02128780844,VIA CESARE BATTISTI N. 9,084001,92100,dott.antoniomorreale@hotmail.it,,0922,596311,,,AMBULATORIO E LABORATORIO,,,,12,2,2,S,1997,01,,,5,35,20180102
2018,190,201,402600,S02,DIAGNOSTICA STRUMENTALE E PER IMMAGINI,CENTRO RADIOLOGICO DI DIAGNOSTICA DI BARTOLO ZUCCARELLO V.& C S.N.C.,02202080848,VIA EMPEDOCLE N. 75,084001,92100,g.dibartolo@hotmail.it,,0922,29882,0922,29882,AMBULATORIO E LABORATORIO,,,,12,2,2,S,1997,01,,,5,27,20180102
2018,190,201,402700,S01,ATTIVITA' CLINICA,DI NOLFO ANDREA,01618870842,VIA S. FRANCESCO D'ASSISI N. 45,084001,92100,dr.dinolfo@gmail.com,,0922,595145,0922,595145,AMBULATORIO E LABORATORIO,,,,12,2,1,S,1997,01,,,5,26,20180102
2018,190,201,402900,S02,DIAGNOSTICA STRUMENTALE E PER IMMAGINI,CENTRO DI DIAGNOSTICA PER IMMAGINI S.R.L. - DOTT. VINCENZO FRANGIAMORE,02617170846,VIA LAURICELLA N. 9,084001,92100,frangiamore.vincenzo@alice.it,,0922,595766,0922,595766,AMBULATORIO E LABORATORIO,,,,12,2,2,S,1997,01,,,6,45,20180102
2018,190,201,403100,S01,ATTIVITA' CLINICA,STUDIO ODONTOIATRICO GILOTTI - NOCERA DI GILOTTI IVA S.A.S.,02453480846,VIA PICONE N. 57,084001,92100,iva.gilotti@teletu.it,,0922,401242,,,AMBULATORIO E LABORATORIO,,,,12,2,2,N,1997,01,,,5,40,20180102
2018,190,201,403300,S02,DIAGNOSTICA STRUMENTALE E PER IMMAGINI,CENTRO DI DIAGNOSTICA PER IMMAGINI DOTT. LO ZITO - S.R.L.,02115990844,VIALE DELLA VITTORIA N. 217,084001,92100,CDILOZITO@LIBERO.IT,,0922,24310,0922,20307,AMBULATORIO E LABORATORIO,,,,12,2,2,S,1997,01,,,6,56,20180119
2018,190,201,403400,S03,ATTIVITA' DI LABORATORIO,LABORATORIO ANALISI CLINICHE VITO MANNINA S.R.L.,02205530849,VIA PICONE N. 18,084001,92100,vitomannina@alice.it,,0922,596422,0922,596422,AMBULATORIO E LABORATORIO,,,,12,2,2,S,1997,01,,,5,50,20180102
2018,190,201,403600,S01,ATTIVITA' CLINICA,CENTRO DI DIAGNOSTICA E TERAPIA FISICA DOTT. G. MONTALBANO S.R.L.,02088910845,VIA PIRANDELLO N. 14,084001,92100,rxmontalbano@libero.it,,0922,20062,0922,20062,AMBULATORIO E LABORATORIO,,,,12,2,2,S,1997,01,,,5,25,20180102
2018,190,201,403600,S02,DIAGNOSTICA STRUMENTALE E PER IMMAGINI,CENTRO DI DIAGNOSTICA E TERAPIA FISICA DOTT. G. MONTALBANO S.R.L.,02088910845,VIA PIRANDELLO N. 14,084001,92100,rxmontalbano@libero.it,,0922,20062,0922,20062,AMBULATORIO E LABORATORIO,,,,12,2,2,S,1997,01,,,6,40,20180102
2018,190,201,403700,S01,ATTIVITA' CLINICA,NOCERA GIUSEPPE,01303690844,VIA PICONE N. 31,084001,92100,NOCERAGIUSEPPE@GMAIL.COM,,0922,29366,0922,29366,AMBULATORIO E LABORATORIO,,,,12,2,1,N,1997,01,,,5,40,20180102
2018,190,201,403800,S01,ATTIVITA' CLINICA,STUDIO OCULISTICO DEL DOTT. FABIO NAVARRA S.A.S,02621350848,VIA S. FRANCESCO D'ASSISI N. 30,084001,92100,navgio@libero.it,,0922,22515,,,AMBULATORIO E LABORATORIO,,,,12,2,2,N,1997,01,,,5,32,20180102
2018,190,201,404000,S01,ATTIVITA' CLINICA,AMBUL. ODONT. DOTT. MARIA GIOVANNA POMO & CAPITANO S.A.S.,02580960843,VIA IMERA N. 97,084001,92100,mariagiovannapomo@libero.it,,0922,594117,0922,594117,AMBULATORIO E LABORATORIO,,,,12,2,2,N,1997,01,,,5,30,20180102
2018,190,201,404100,S01,ATTIVITA' CLINICA,ROSANO ANGELA,01422800845,VIA PETRARCA N. 2/BIS,084001,92100,angela.rosano@alice.it,,0922,402141,,,AMBULATORIO E LABORATORIO,,,,12,2,1,S,1997,01,,,4,20,20180119
2018,190,201,404200,S03,ATTIVITA' DI LABORATORIO,ANALISI CLINICHE CENTRO FLEMING S.R.L.,02383110844,VIA MANZONI N. 120,084001,92100,mail@centrofleming.it,,0922,22452,0922,22452,AMBULATORIO E LABORATORIO,,,,12,2,2,S,1997,01,,,5,32,20180102
2018,190,201,404400,S01,ATTIVITA' CLINICA,STUDIO ENRICO S.A.S. DI SCIMECCA EUGENIO,02182890844,VIA V. EMANUELE ORLANDO N. 1,084001,92100,STUDIO.ENRICO@VIRGILIO.IT,,0922,596615,0922,596615,AMBULATORIO E LABORATORIO,,,,12,2,2,S,1997,01,,,3,18,20180102
2018,190,201,404500,S01,ATTIVITA' CLINICA,VISION CENTER DEL DOTT. SORCE GIOVANNI & C.- S.A.S.,02709680843,VIA ERACLITO N. 18,084001,92100,spanoguelialletti@libero.it,,0922,607436,0922,607436,AMBULATORIO E LABORATORIO,,,,12,2,2,N,1997,01,,,5,20,20180102
2018,190,201,404600,S02,DIAGNOSTICA STRUMENTALE E PER IMMAGINI,STUDIO DIAGNOSTICO INTEGRATO S.R.L.,00318590841,VIALE DELLA VITTORIA 271/BIS,084001,92100,KALAMASURF@LIBERO.IT,,0922,595188,0922,594292,AMBULATORIO E LABORATORIO,,,,12,2,2,S,1997,01,,,6,50,20180102
2018,190,201,404700,S01,ATTIVITA' CLINICA,CENTRO ODONTO - STOMATOLOGICO S.A.S. DI ZAFFUTO EDOARDO & C.,02647880844,VIA EMPEDOCLE N. 111,084001,92100,ezaffut@gmail.com,,0922,29525,0922,29525,AMBULATORIO E LABORATORIO,,,,12,2,2,N,1997,01,,,5,33,20180102
2018,190,201,404800,S03,ATTIVITA' DI LABORATORIO,LAB.AN.CLIN. LIGAMMARI ANNA MARIA & C. S.A.S.,02544480847,"VIA SANTUARIO,4",084002,92010,ENZOMANGIONE54@GMAIL.COM,,0922,981820,0922,981820,AMBULATORIO E LABORATORIO,,,,12,2,2,S,1997,01,,,5,25,20180102
2018,190,201,404900,S03,ATTIVITA' DI LABORATORIO,CENTRO DIAGNOSTICO DOTT.SSA ALONGI DEL DOTT. DI BETTA GIUSEPPE & C - S.A.S.,02544160845,"VIA ROMA , N.92/93",084003,92021,laboratorioalongi@libero.it,,0922,37149,0922,37149,AMBULATORIO E LABORATORIO,,,,12,2,2,S,1997,01,,,5,25,20180102
2018,190,201,405000,S03,ATTIVITA' DI LABORATORIO,AESCULAPIUS S.R.L.,02276380843,VIA TORINO N. 10,084003,92021,aesculapius.srl@libero.it,,0922,37243,0922,609218,AMBULATORIO E LABORATORIO,,,,12,2,2,S,1997,01,,,5,40,20180102
2018,190,201,405100,S01,ATTIVITA' CLINICA,SCALZO ALDO,01637250844,VIA GIOVANNI XXIII,084003,92021,scalzoa@tin.it,,0922,38421,0922,38421,AMBULATORIO E LABORATORIO,,,,12,2,1,S,1997,01,,,5,40,20180102
2018,190,201,405300,S01,ATTIVITA' CLINICA,DI MARCO GIUSEPPINA,01648980843,VIA VENEZIA N. 101,084009,92022,dmgiuseppina@live.it,,0922,902347,0922,902347,AMBULATORIO E LABORATORIO,,,,12,2,1,S,1997,01,,,4,30,20180102
2018,190,201,405400,S01,ATTIVITA' CLINICA,DOTT.SSA LOMBINO CONCETTINA & C. S.A.S.,02658790841,"CORSO MATTEOTTI, 17",084009,92022,concettinalombino@cgn.legamail.it,,0922,902395,0922,909196,AMBULATORIO E LABORATORIO,,,,12,2,2,S,1997,01,,,4,32,20180116
2018,190,201,405500,S03,ATTIVITA' DI LABORATORIO,ANALISI CLINICHE E MICROBIOLOGICHE DI MANGIAPANE GIUSEPPA & C. - S.A.S.,02546590841,C.SO GIACOMO MATTEOTTI N. 7,084009,92022,man.pina@virgilio.it,,0922,900376,0922,900376,AMBULATORIO E LABORATORIO,,,,12,2,2,S,1997,01,,,5,35,20180102
2018,190,201,405600,S03,ATTIVITA' DI LABORATORIO,DOTT.SSA BUSCEMI GIUSEPPA & FIGLI S.A.S. - LABORATORIO ANALISI,02429040849,VIA LIBERTA' N. 28,084010,92023,buscemigiuseppina@alice.it,,0922,877383,0922,877383,AMBULATORIO E LABORATORIO,,,,12,2,2,S,1997,01,,,5,35,20180102
2018,190,201,405700,S03,ATTIVITA' DI LABORATORIO,LABORATORIO ANALISI CLINICHE D.RI CORBO - MONTAPERTO S.N.C.,01300420849,VIA GARIBALDI N.154,084010,92023,laboratoriocorbomontaperto@gmail.com,,0922,877674,0922,877674,AMBULATORIO E LABORATORIO,,,,12,2,2,S,1999,01,,,5,33,20180102
2018,190,201,405800,S03,ATTIVITA' DI LABORATORIO,LABORATORIO ANALISI CLINICHE DI DIEGO FANARA & C S.A.S.,02155060847,VIA INNOCENZO CAIZZA N. 16,084010,92023,dfanara@libero.it,,0922,878766,,,AMBULATORIO E LABORATORIO,,,,12,2,2,S,1997,01,,,5,36,20180102
2018,190,201,405900,S01,ATTIVITA' CLINICA,CENTRO MEDICO DENTISTICO CAPONCELLO-LAURICELLA S.A.S & C.,02232090841,VIA FRANCIA 4 / 6,084011,92024,giovannacaponcello@libero.it,,0922,858888,0922,858888,AMBULATORIO E LABORATORIO,,,,12,2,2,S,1997,01,,,5,40,20180102
2018,190,201,406400,S03,ATTIVITA' DI LABORATORIO,LABOR. ANALISI BIOLOGICHE E RADIOIMMUNOLOGICHE DOTT.SSA GIARDINA DIEGA S.R.L.,02129450843,"VIA S. ALLENDE, 2",084011,92024,GIARDINA.DIEGA@ALICE.IT,,0922,853932,0922,853932,AMBULATORIO E LABORATORIO,,,,12,2,2,S,1997,01,,,5,40,20180118
2018,190,201,406500,S02,DIAGNOSTICA STRUMENTALE E PER IMMAGINI,CEDIM S.R.L.,02543230847,VIALE REGINA MARGHERITA N. 47,084011,92024,grecorad@tin.it,,0922,855911,0922,736369,AMBULATORIO E LABORATORIO,,,,12,2,2,S,1997,01,,,5,36,20180102
2018,190,201,406600,S01,ATTIVITA' CLINICA,LALOMIA GIOACHINO,00666470644,"VIA CAPITANO MAIRA, N. 45",084011,92024,gioachinolalomia@outlook.it,,0922,854225,0922,854225,AMBULATORIO E LABORATORIO,,,,12,2,1,S,1997,01,,,4,18,20180118
2018,190,201,407200,S01,ATTIVITA' CLINICA,DE MARCO VINCENZO,00684380843,"PIAZZETTA GENERALE DALLA CHIESA ,30",084012,92025,V_DEMARCO@LIBERO.IT,,0922,917622,0922,917622,AMBULATORIO E LABORATORIO,,,,12,2,1,S,1997,01,,,5,40,20180102
2018,190,201,407500,S01,ATTIVITA' CLINICA,DOTT. GIUSEPPE PELLITTERI & C. STUDIO O.R.L. S.A.S.,02636610848,"VIA GIUSEPPE VERDI, 12",084012,92025,pellitteri.g@virgilio.it,,0922,911979,0922,911979,AMBULATORIO E LABORATORIO,,,,12,2,2,S,1997,01,,,5,38,20180102
2018,190,201,407700,S03,ATTIVITA' DI LABORATORIO,CENTRO ANALISI CLINICHE MARCHESE RAGONA S.R.L.,02793960846,VIA I° MAGGIO N. 5,084013,92020,labcastrofilippo@libero.it,,0922,829392,0922,829392,AMBULATORIO E LABORATORIO,,,,12,2,2,S,1997,01,,,5,40,20180102
2018,190,201,407900,S03,ATTIVITA' DI LABORATORIO,CENTRO ANALISI CLINICHE DI GAGLIANO GIUSEPPE S.A.S.,02140610847,"VIA MARTORANA, 2",084015,92012,giuseppe.gaglia1948@libero.it,,0922,984038,0922,984038,AMBULATORIO E LABORATORIO,,,,12,2,2,S,1997,01,,,5,25,20180102
2018,190,201,408000,S01,ATTIVITA' CLINICA,STUDIO CARDIOLOGICO DOTT. ALAIMO GAETANO & C. S.N.C.,02141880845,VIA BASSANESI N. 1,084017,92026,alaimi@libero.it,,0922,420344,0922,420344,AMBULATORIO E LABORATORIO,,,,12,2,2,S,1997,01,,,5,60,20180119
2018,190,201,408100,S01,ATTIVITA' CLINICA,ALBA GIOVANNA & C. S.A.S.,02098120849,CORTILE COPERNICO N. 40,084017,92026,alba.giovanna@alice.it,,0922,419944,0922,419944,AMBULATORIO E LABORATORIO,,,,12,2,2,N,1997,01,,,3,27,20180102
2018,190,201,408200,S01,ATTIVITA' CLINICA,CINQUEMANI DOTT. SSA CARMELA OCULISTA S.A.S.,02677080844,VIA UMBERTO N.107,084017,92026,grecolorenzo@alice.it,,0922,420708,0922,420708,AMBULATORIO E LABORATORIO,,,,12,2,2,N,1997,01,,,5,33,20180119
2018,190,201,408300,S01,ATTIVITA' CLINICA,AMBULATORIO DERMATOLOGICO DOTTOR DI STEFANO GIUSEPPE S.A.S.,02622410849,VIA PIERSANTI MATTARELLA N. 3/A,084017,92026,distefanogiuseppe@alice.it,,0922,437010,0922,594051,AMBULATORIO E LABORATORIO,,,,12,2,2,N,1997,01,,,5,25,20180119
2018,190,201,408500,S01,ATTIVITA' CLINICA,DOTTOR MARCO NIPO S.A.S. DI NIPO TARSIA & C.,02275360846,VIA VITTORIO EMANUELE N. 22,084017,92026,MARCO.NIPO@INWIND.IT,,0922,415077,0922,31388,AMBULATORIO E LABORATORIO,,,,12,2,2,N,1997,01,,,5,23,20180102
2018,190,201,408600,S03,ATTIVITA' DI LABORATORIO,CENTRO ANALISI CLINICHE S.R.L.,02179450842,VIA MULINO N. 4,084017,92026,centroanalisinobile@alice.it,,0922,32322,0922,32322,AMBULATORIO E LABORATORIO,,,,12,2,2,S,1997,01,,,6,45,20180102
2018,190,201,408700,S03,ATTIVITA' DI LABORATORIO,CENTRO ANALISI DARWIN DR. SCIUME' S.R.L.,02089170845,VIA PAPA LUCIANI N. 19,084017,92026,analisidarwin@libero.it,,0922,32390,0922,32390,AMBULATORIO E LABORATORIO,,,,12,2,2,S,1997,01,,,5,50,20180102
2018,190,201,408800,S01,ATTIVITA' CLINICA,SORCE ROSARIO & C. S.A.S,02244640849,CORTILE MULE' N. 9,084017,92026,SORCE.ROSARIO@LIBERO.IT,,0922,436267,0922,436267,AMBULATORIO E LABORATORIO,,,,12,2,2,N,1997,01,,,6,35,20180119
2018,190,201,408900,S03,ATTIVITA' DI LABORATORIO,BIOECO ANALISI S.R.L.,02416400840,VIA CAPITANO CALLEA N. 30,084017,92026,bioecoanalisi@alice.it,,0922,415473,0922,415473,AMBULATORIO E LABORATORIO,,,,12,2,2,S,1997,01,,,6,44,20180102
2018,190,201,409200,S03,ATTIVITA' DI LABORATORIO,LAB ANALISI CLINICHE DOTT. SSE R. DAMANTI & S. PARLA S.N.C.,02116530847,VIA CANONICO MORINELLO N. 8,084021,92027,parlafrancesco@virgilio.it,,0922,891361,0922,891361,AMBULATORIO E LABORATORIO,,,,12,2,2,S,1997,01,,,5,38,20180102
2018,190,201,409400,S01,ATTIVITA' CLINICA,STUDIO MEDICO SPECIALISTICO DOTT. GIUSEPPE GRILLO & BERTI ROBERTA S.A.S.,00595510843,VIA DESSIE' N. 13,084021,92027,grberti@yahoo.it,,0922,775227,0922,775227,AMBULATORIO E LABORATORIO,,,,12,2,2,N,1997,01,,,5,36,20180102
2018,190,201,409500,S01,ATTIVITA' CLINICA,CENTRO CARDIOVASCOLARE DEL DOTTOR SERGIO LICATA & C. S.A.S.,02374900849,VIA DANTE N. 17,084021,92027,sergiolicata@inwind.it,,0922,773086,0922,773086,AMBULATORIO E LABORATORIO,,,,12,2,2,S,1997,01,,,5,40,20180102
2018,190,201,409700,S03,ATTIVITA' DI LABORATORIO,LAB. ANALISI CLINICHE E RADIOIMMUNOLOGICHE DOTT. MARRA GIUSEPPE & C. S.N.C.,02168300842,"PIAZZA LINARES , 4",084021,92027,marra.g@tin.it,,0922,775444,0922,806082,AMBULATORIO E LABORATORIO,,,,12,2,2,S,1997,01,,,5,40,20180102
2018,190,201,409800,S01,ATTIVITA' CLINICA,CENTRO DERMATOLOGICO DOTT. CRISTOFARO PIACENTI & C. S.A.S.,02391830847,PIAZZA LINARES N. 8,084021,92027,cristofaro.piacenti@tin.it,,0922,772479,0922,772479,AMBULATORIO E LABORATORIO,,,,12,2,2,N,1997,01,,,5,28,20180108
2018,190,201,410000,S01,ATTIVITA' CLINICA,TRINACRIA S.A.S DI RIOLO GIUSEPPE & C. S.A.S.,02433950843,CORSO SERROVIRA N. 280,084021,92027,mariantonietta_cap@yahoo.it,,0922,773854,0922,773854,AMBULATORIO E LABORATORIO,,,,12,2,2,N,1997,01,,,2,14,20180116
2018,190,201,410100,S02,DIAGNOSTICA STRUMENTALE E PER IMMAGINI,STUDIO MEDICO ASSOCIATO DIAGNOSTICA PER IMMAGINI TIRRI DEL DR. TIRRI LUIGI S.A.S.,02058350840,CORSO UMBERTO N. 100,084021,92027,luigitirri@virgilio.it,,0922,774980,0922,777137,AMBULATORIO E LABORATORIO,,,,12,2,2,S,1997,01,,,5,35,20180116
2018,190,201,410200,S03,ATTIVITA' DI LABORATORIO,LAB AN CLIN. DOTT. URSO SANTA ANNA & C. S.A.S.,02230030849,VIA MOGADISCIO N. 31,084021,92027,analisiclinicheurso@virgilio.it,,0922,775445,0922,775445,AMBULATORIO E LABORATORIO,,,,12,2,2,S,1997,01,,,5,35,20180108
2018,190,201,410300,S03,ATTIVITA' DI LABORATORIO,DR. VINCENTI GIOVANNA,01373890845,VIA IPPOLITO NIEVO N. 2,084021,92027,giovannavincenti@alice.it,,0922,802263,0922,802263,AMBULATORIO E LABORATORIO,,,,12,2,1,S,1997,01,,,5,37,20180108
2018,190,201,410400,S01,ATTIVITA' CLINICA,MARRETTA DOTT. ANTONINO & C. DELLA DOTT.SSA LIBASCI GRAZIA STUDIO DI ORTOPEDIA E FISIOKINESITERAPIA,02272400843,VIA MANDORLO N. 72,084023,92013,marrettaantonino@tiscali.it,,0925,72444,0925,72444,AMBULATORIO E LABORATORIO,,,,12,2,2,S,1997,01,,,5,45,20180102
2018,190,201,410500,S03,ATTIVITA' DI LABORATORIO,ANALISI CLINICHE DEI DOTTORI ACCORDINO F. & LA BELLA C. S.N.C.,02267600845,VIA ALESSANDRO VOLTA N. 34,084023,92013,analisiclinicheaccordino@virgilio.it,,0925,73044,0925,73044,AMBULATORIO E LABORATORIO,,,,12,2,2,S,1997,01,,,5,27,20180102
2018,190,201,410700,S01,ATTIVITA' CLINICA,STUDIO DENTISTICO DEL DOTT. GIUSEPPE MESSINA & C - S.A.S.,02229170846,V.LE RISORGIMENTO N. 95,084023,92013,dott.giuseppemessina@libero.it,,0925,71270,0925,71270,AMBULATORIO E LABORATORIO,,,,12,2,2,S,1997,01,,,3,44,20180514
2018,190,201,411000,S03,ATTIVITA' DI LABORATORIO,CENTRO EMODIAGNOSTICO ANALISI CLINICHE SANTI BIVONA S.R.L.S.,02809510841,VIA DELLA VITTORIA N. 240,084023,92013,ceacsantibivona@gmail.com,,0925,72209,0925,72209,AMBULATORIO E LABORATORIO,,,,12,2,2,S,1997,01,,,5,40,20180102
2018,190,201,411100,S03,ATTIVITA' DI LABORATORIO,LABGEN DI ANGELA FLORES DICO S.N.C.,02129810848,"VIA INGRAUDO GAGLIANO SALVATORE ,N. 17",084024,92010,info@labgen.it,www.labgen.it,338,1178842,0922,847065,AMBULATORIO E LABORATORIO,,,,12,2,2,S,1997,01,,,5,10,20180102
2018,190,201,411200,S03,ATTIVITA' DI LABORATORIO,LABORATORIO ANALISI CLINICHE DEI D.RI R. FABRICA E G. BONA S.R.L.,02127640841,"VIA CASTRONOVO, 8/10",084026,92028,GIOVANNI.BONA2@TIN.IT,,0922,956751,,,AMBULATORIO E LABORATORIO,,,,12,2,2,S,1997,01,,,5,40,20180102
2018,190,201,411300,S03,ATTIVITA' DI LABORATORIO,LABORATORIO ANALISI CLINICHE DR. VELLA GERO S.R.L.,02134190848,"VIA GRAN PRIORATO, N. 3",084026,92028,laboratorio.vella@pec.it,,0922,959143,0922,959143,AMBULATORIO E LABORATORIO,,,,12,2,2,S,1997,01,,,5,35,20180102
2018,190,201,411400,S01,ATTIVITA' CLINICA,CENTRO POLIAMBULATORIALE CAF S.R.L.,02197570845,VIA CANGIAMILA N. 855,084027,92020,salvatorecastellino@alice.it,,0922,969604,,,AMBULATORIO E LABORATORIO,,,,12,2,2,N,1997,01,,,6,30,20180109
2018,190,201,411600,S03,ATTIVITA' DI LABORATORIO,ANALISI CLINICHE DOTT.SSA PACE LETIZIA & C. S.A.S.,02439820842,CORSO ODIERNA N. 699,084027,92020,laboratoriopace@libero.it,,0922,968839,0922,968839,AMBULATORIO E LABORATORIO,,,,12,2,2,S,1997,01,,,5,40,20180109
2018,190,201,411700,S01,ATTIVITA' CLINICA,CENTRO MEDICO DI FISIOKINESITERAPIA ESCULAPIO S.R.L. UNIPERSONALE,02174400842,PIAZZA REGINA MARGHERITA N.11,084027,92020,centro.esculapio@libero.it,,0922,961263,0922,961263,AMBULATORIO E LABORATORIO,,,,12,2,2,N,1997,01,,,5,35,20180109
