REGIONE,CODICE REGIONE,PROVINCIA,CODICE AZIENDA,CODICE STRUTTURA,DENOMINAZIONE STRUTTURA,DENOMINAZIONE COMUNE,PARTITA IVA,CODICE COMUNE,INDIRIZZO,CAP,TELEFONO,NUMERO FAX,SITO WEB,E-MAIL,TIPO STRUTTURA,TIPO IRCCS/A.O. UNIV. E POLICLINICO,TIPO CASA DI CURA,DIPARTIMENTO EMERGENZA,CENTRO TRASFUSIONALE,SERVIZIO RIANIMAZIONE,DIAGNOSTICA PER IMMAGINI,RADIOTERAPIA,ONCOLOGIA MEDICA,SERVIZIO DIALISI,PRONTO SOCCORSO,SALE OPERATORIE,POSTI CAMERE IPERBARICHE,INCUBATRICI,AMBULANZE TIPO A,AMBULANZE TIPO A CON MEDICO,AMBULANZE TIPO B,AMBULANZE PEDIATRICHE,AMBULANZE TRASP. EMERGENZA NEONATO,UNITÀ MOBILI RIANIMAZIONE,ANNO APERTURA,APPARECCHIATURE TECNICO BIOMEDICHE,ATTIVITÀ RIABILITAZIONE,CULLE,DATA AGGIORNAMENTO
Sicilia,190,,205,190325,P.O. 'G. FOGLIANI' MILAZZO,,03051870834,083049,VILLAGGIO GRAZIA,98057,09092901,0909290446,,ospedale.milazzo@asp.messina.it,01,,,,X,X,X,,,X,X,6,0,5,0,0,0,0,0,0,,X,,12,20180207
Sicilia,190,,205,190326,P.O.' S. VINCENZO' TAORMINA,,03051870834,083097,CONTRADA SIRINA,98039,09425791,094252215,,direzione.osptaormina@asp.messina.it,01,,,1,X,X,X,X,X,X,X,10,0,4,0,0,1,0,0,0,,X,,10,20180207
Sicilia,190,,205,190327,P.O. 'SS. SALVATORE' MISTRETTA,,03051870834,083052,VIA ANNA SALAMONE,98073,0921389111,0921389224,www.asp.messina.it,ospedale.mistretta@asp.messina.it,01,,,,,,X,,,,X,2,0,0,0,0,0,0,0,0,,X,,0,20180207
Sicilia,190,,205,190328,P.O. 'BARONE-ROMEO' PATTI,,03051870834,083066,VIA MAZZINI,98066,0941244111,094121562,,,01,,,,X,X,X,,,X,X,5,0,17,0,0,2,0,0,0,,X,,20,20180301
Sicilia,190,,205,190329,STABILIMENTO OSPED. S. AGATA MILITELLO,,03051870834,083084,VIA MEDICI,98076,09417201,0941720426,,ospedale.sagata@asp.messina.it,01,,,,X,,X,,,,X,3,0,2,0,0,1,0,0,0,,X,,6,20180207
Sicilia,190,,205,190524,I.O.M.I. F.SCALABRINO GANZIRRI,,06619881003,083048,VIA CONS POMPEA 360 GANZIRRI MESSINA,98165,09039711,090391392,www.giomi.it,info@giomi.com,05,,1,,,,X,,,,,4,0,0,0,0,0,0,0,0,1956,X,,0,20180223
Sicilia,190,,205,190525,CASA DI CURA S.CAMILLO,,00191770833,083048,VIALE P.UMBERTO N.71 MESSINA,98122,0906402317,090661120,www.casadicurasancamillome.it,casadicurasancamillo@virgilio.it,05,,1,,,,X,,,,,3,0,0,0,0,0,0,0,0,1966,X,,0,20180209
Sicilia,190,,205,190526,CASA DI CURA CRISTO RE,,00191850833,083048,VIALE P.UMBERTO N.89 MESSINA,98122,0903718111,0903719133,www.casadicuracristore.it,direzione@casadicuracristore.it,05,,1,,,,X,,,,,3,0,0,0,0,0,0,0,0,1973,X,,0,20180209
Sicilia,190,,205,190527,CASA DI CURA CARMONA SRL,,01428290892,083048,VIALE P.UMBERTO N.75/G,98122,090711001,090714980,www.carmonacasadicura.it,commerciale@carmonacasadicura.it,05,,1,,,,X,,X,,,3,0,0,0,0,0,0,0,0,1995,X,,0,20180209
Sicilia,190,,205,190528,CASA DI CURA VILLA SALUS S.A.S.,,01379750837,083048,VIALE REG.MARGHERITA N. 15/B MESSINA,98121,09036901,09045558,www.casadicuravillasalus.it,vsalus@tin.it,05,,1,,,,X,,X,,,2,0,0,0,0,0,0,0,0,1961,X,,0,20180209
Sicilia,190,,205,190530,C.O.T. S.P.A. (CURE ORTOPED. TRAUM.),,00184810836,083048,VIA DUCEZIO N.1,98124,090660224,0906409680,www.cotmessina.it,amministrazione@cotmessina.it,05,,1,,,,X,,,,,3,0,0,0,0,0,0,0,0,1973,X,,0,20180209
Sicilia,190,,205,190531,CASA DI CURA VILLA IGEA SRL,,00184760833,083048,VIA CONSOLARE VALERIA N 47 MESSINA,98124,0902930323,090696550,www.cdcvillaigea.it,casadicuravillaigeasrl@virgilio.it,05,,1,,,,X,,,,,0,0,0,0,0,0,0,0,0,1961,X,,0,20180209
Sicilia,190,,205,190601,CENTRO CHIRURGICO VILLA MARIA S.R.L.,,01926280833,083048,S.S.113 - ORTOLIUZZO KM. 32,98161,090348380,090348380,www.villamariadaysurgery.it,info@villamariadaysurgery.it,05,,2,,,,,,,,,1,0,0,0,0,0,0,0,0,2007,X,,0,20180209
Sicilia,190,,205,190716,CASA DI CURA CAPPELLANI GIOMI S.P.A.,,11060571004,083048,VIALE REG.ELENA N.335,98121,0903681,09042285,,info.cappellanigiomi@giomi.com,05,,1,,,,X,,,,,3,0,0,0,0,0,0,0,0,2002,X,,0,20180209
Sicilia,190,,206,190179,FOND. IST. S. RAFFAELE - GIGLIO,,05205490823,082027,C.DA PIETRAPOLLASTRA,90015,0921920652,0921920513,www.hsrgiglio.it,direzionegenerale@pec.hsrgiglio.it,00,,,1,X,X,X,,X,X,X,5,0,2,1,1,0,0,0,1,2003,X,,10,20180301
Sicilia,190,,206,190199,OSP. BUCCHERI LA FERLA FATEBENEFRATELLI,,,082053,VIA M. MARINE 197,90127,091479325,091479385,www.ospedalebuccherilaferla.it,scaletta.gino@fbf.it,04,,,1,,X,X,,X,,X,6,0,12,0,0,0,0,0,0,1988,X,,32,20180125
Sicilia,190,,206,190330,P.O. DEI BIANCHI CORLEONE,,05841760829,082034,VIA DON G. COLLETTO,90034,0918450100,0918450112,,dirsancorleone@asppalermo.org,01,,,,,X,X,,,,X,1,2,0,3,2,0,0,0,1,,X,,6,20180423
Sicilia,190,,206,190332,P.O. CIVICO PARTINICO,,05841760829,082054,VIA CIRCONVALLAZIONE 1,90047,0918911300,0918911165,,segretaria.partinoco@asppalermo.org,01,,,,,X,X,,,,X,5,4,2,2,0,0,0,0,0,,X,,15,20180226
Sicilia,190,,206,190333,P.O. MADONNA DELL'ALTO - PETR. SOTTANA,,05841760829,082056,CONTRADA SANTA ELIA,90027,0921682111,0921682074,,dirsanpetralia@ausppalermo.org,01,,,,,X,X,,,,X,2,2,1,0,0,1,0,0,2,,X,,6,20180227
Sicilia,190,,206,190334,P.O. S. CIMINO TERMINI IMERESE,,05841760829,082070,VIA SALVATORE CIMINO,90018,0918151111,0918151228,,dirsantermini@asppalermo.org,01,,,1,,,X,,,,X,3,0,4,1,0,0,0,0,0,,X,,19,20180226
Sicilia,190,,206,190335,P.O. G. F. INGRASSIA,,05841760829,082053,"C.SO CALATAFIMI, 1002",90100,0917033731,0917033766,,dsingrassia@gmail.com,01,,,1,,X,X,,,,X,3,0,14,1,0,0,0,0,0,,X,,16,20180226
Sicilia,190,,206,190337,P.O. VILLA DELLE GINESTRE,,05841760829,082053,"VIA CASTELLANA, 145",90135,0916743111,0916743140,,villadelleginestre@asppalermo.org,01,,,,,,X,,,,,1,0,0,0,0,0,0,0,0,2011,X,X,0,20180226
Sicilia,190,,206,190532,CASA DI CURA IGEA S.N.C.,,00635720824,082054,VIA ROMA 193,90047,0918907410,0918782296,wwwigeacasadicura.it,info@igeacasadicura.it,05,,1,,,,X,,,,,3,0,0,0,0,0,0,0,0,1978,X,,0,20180228
Sicilia,190,,206,190533,CASA DI CURA CANDELA SPA,,00118410828,082053,VIA VILLAREALE 54,90141,091587122,091589344,wwwclinicacandela.it,amministrazione@pec.clinicacandela.it,05,,1,,,,,,,,,3,0,6,0,0,0,0,0,0,1991,X,,25,20180228
Sicilia,190,,206,190534,CASA DI CURE ORESTANO S.R.L.,,00295440820,082053,"VIA PIETRO D`ASARO, N 48",90138,0916044111,091323090,www.casadicureorestano.it,info@casadicuraorestano.it,05,,1,,,,X,,X,,,5,0,0,0,0,0,0,0,0,1921,X,,0,20180228
Sicilia,190,,206,190536,CASA DI CURA 'TRIOLO ZANCLA' S.P.A.,,03599540824,082053,P.ZZA FONDERIA N.23,90133,0916054111,091324463,,direzione@triolozancla.com,05,,1,,,,,,,,,2,0,6,0,0,0,0,0,0,1978,X,,20,20180228
Sicilia,190,,206,190537,CASA DI CURA SERENA S.P.A.,,00611390824,082053,VIA DELLA REGIONE SICILIANA 1470,90135,0916985111,0914066459,wwwcasadicuraserena.it,info@casadicuraserena.it,05,,1,,,,X,,,,,5,0,2,0,0,0,0,0,0,1967,X,,15,20180427
Sicilia,190,,206,190538,CASA DI CURA NOTO PASQUALINO S.R.L.,,00712600824,082053,VIA DANTE 330,90141,0916837111,0916829699,wwwclinicanoto.it,clinicanotosrl@libero.it,05,,1,,,,X,,,,,5,0,0,0,0,0,0,0,0,1927,X,,0,20180228
Sicilia,190,,206,190539,NUOVA CASA DI CURA D`ANNA PIA ASS. SRL,,02723640831,082053,"V.LE REGIONE SICILIANA ,900 SUD EST",90129,091484178,091423064,,protocollo@pec.nuovacasadicuradanna.it,05,,1,,,,X,,,,,0,0,0,0,0,0,0,0,0,1984,X,,0,20180115
Sicilia,190,,206,190540,NUOVA CASA DI CURA DEMMA srl,,05112210827,082053,VIALE REGINA MARGHERITA 5,90138,0916811217,,www.clinicademma.it,amministrazione@clinicademma.it-clinicademma@pec.i,05,,1,,,,,,,,,3,0,0,0,0,0,0,0,0,1984,X,,0,20180111
Sicilia,190,,206,190541,CASA DI CURA MACCHIARELLA S.P.A.,,00301520821,082053,VIALE REGINA MARGHERITA 25,90138,0917022111,0916517049,www.cacadicuramacchiarella.it,cdcmacchiarella@pec.it-ragioneria@casadicuramacchi,05,,1,,,,X,X,X,,,3,0,0,0,0,0,0,0,0,1957,X,,0,20180228
Sicilia,190,,206,190542,CASA DI CURA TORINA,,00734750821,082053,VIA F. SPALLITTA N.18,90145,0916838111,0916824130,www.casadicuratorina.it,casadicuratorina@katamail.com,05,,1,,,,X,,X,,,2,0,0,0,0,0,0,0,0,1959,X,,0,20180115
Sicilia,190,,206,190543,CASA DI CURA VILLA MARGHERITA,,02533080822,082053,"VIA MARCHESE DI VILLABIANCA, 6",90143,091344640,091344640,,,05,,1,,,,X,,,,,0,0,0,0,0,0,0,0,0,1981,X,,0,20180102
Sicilia,190,,206,190545,CASA DI CURE COSENTINO DI KAROL S.R.L.,,06065240829,082053,CORSO DEI MILLE 56,90123,0916162016,0916162016,,karolstrutturesanitarie@pec.it,05,,1,,,,,,,,,2,0,0,0,0,0,0,0,0,2011,X,,0,20180226
Sicilia,190,,206,190551,CASA DI CURA LA MADDALENA S.P.A.,,04413030828,082053,"VIA S. LORENZO COLLI, 312/D",90146,0916806111,0916806906,www.lamaddalenanet.it,info@lamaddalenanet.it,05,,1,,,,X,X,X,,,3,0,0,0,0,0,0,0,0,1999,X,,0,20180227
Sicilia,190,,206,190602,CENTRO ANDROS S.R.L.,,03730190828,082053,VIA AUSONIA 43/45,90144,0916785511,0916785522,www.centroandros.it,info@centro andros.it,05,,1,,,,,,,,,2,0,0,0,0,0,0,0,0,2000,X,,0,20180228
Sicilia,190,,206,190718,CASA DI CURA LATTERI VALSAVA S.R.L.,,01275220893,082053,"VIA F. CORDOVA, 62",90143,0917215111,091302438,www.casadicuralatteri.it,clinicalatteri@casadicuralatteri.it,05,,1,,,,X,,,,,2,0,0,2,0,0,0,0,0,1989,X,,0,20180228
Sicilia,190,,206,190720,CASA DI CURA VILLA MARIA ELEONORA,,03790910826,082053,"VIALE REGIONE SICILIANA,1571",90135,0916981111,0916981366,www.gvm-vme.it,gvm-vme@legalmail.it,05,,1,,,X,X,,,,,4,0,0,0,0,0,0,0,0,1991,X,,0,20180115
Sicilia,190,,207,190338,OSPEDALE ' CIVILE MARIA PATERNO' AREZZO,,01426410880,088009,"PIAZZA CADUTI DI NASSARYA,1",97100,0932600796,0932600795,,pasquale.granata@asp.rg.it,01,,,,X,X,X,X,X,X,X,7,0,14,1,0,1,0,0,2,,X,,28,20180126
Sicilia,190,,207,190339,OSPEDALE REGINA MARGHERITA COMISO,,01426410880,088003,via Paolo Borsellino C/da Mastrella,97013,0932740111,0932962687,,giovanni.dinatale60@asp.rg.it,01,,,,,,X,,,,,4,0,0,0,0,0,0,0,0,,X,,0,20180126
Sicilia,190,,207,190340,OSPEDALE MAGGIORE MODICA,,01426410880,088006,via A.Moro,97015,0932768111,,,dirsan.modica@asp.rg.it,01,,,,X,X,X,,,X,X,6,0,5,1,0,1,0,0,2,,X,,10,20180126
Sicilia,190,,207,190341,OSPEDALE BUSACCA SCICLI,,01426410880,088011,Via Ospedale,97018,0932446111,0932832716,,dirsan.modica@asp.rg.it,01,,,,,,X,,,X,,0,0,0,1,0,0,0,0,0,,X,,0,20180126
Sicilia,190,,207,190342,OSPEDALE GUZZARDI VITTORIA,,01426410880,088012,VIA PAPA GIOVANNI XXIII,97019,0932447163,0932999266,,giovanni.dinatale60@asp.rg.it,01,,,,X,X,X,,,,X,6,0,4,1,0,1,0,0,0,,X,,10,20180126
Sicilia,190,,207,190552,CASA DI CURA CLINICA DEL MEDITERRANEO,,01219210885,088009,"VIA ETTORE FIERAMOSCA,100",97100,0932641001,0932253701,,d.sanitariamedisan@gmail.com,05,,1,,,,X,,,,,3,0,0,0,0,0,0,0,0,,X,,0,20180130
